,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,500-549,-124円,143分,99.9%,98件
1,550-599,-826円,146分,99.2%,126件
2,600-649,-311円,145分,99.7%,155件
3,650-699,-161円,136分,99.8%,183件
4,700-749,-1796円,139分,98.3%,226件
5,750-799,506円,136分,100.5%,245件
6,800-849,398円,134分,100.4%,273件
7,850-899,645円,130分,100.7%,322件
8,900-949,87円,131分,100.1%,338件
9,950-999,1084円,126分,101.2%,336件
10,1000-1049,1341円,124分,101.4%,364件
11,1050-1099,329円,125分,100.4%,393件
12,1100-1149,584円,122分,100.6%,437件
13,1150-1199,1661円,116分,101.9%,412件
14,1200-1249,2042円,118分,102.3%,425件
15,1250-1299,1637円,112分,101.9%,411件
16,1300-1349,2561円,106分,103.2%,405件
17,1350-1399,2073円,107分,102.6%,388件
18,1400-1449,2309円,106分,102.9%,401件
19,1450-1499,2561円,103分,103.3%,350件
20,1500-1549,1733円,100分,102.3%,330件
21,1550-1599,2737円,96分,103.8%,339件
22,1600-1649,3008円,94分,104.3%,339件
23,1650-1699,3318円,89分,105%,305件
24,1700-1749,2854円,87分,104.4%,312件
25,1750-1799,3615円,87分,105.6%,307件
26,1800-1849,3803円,81分,106.2%,273件
27,1850-1899,4184円,82分,106.8%,243件
28,1900-1949,4350円,76分,107.6%,269件
29,1950-1999,5286円,72分,109.8%,234件
30,2000-2049,3792円,70分,107.2%,212件
31,2050-2099,5196円,66分,110.5%,192件
32,2100-2149,4605円,61分,110.1%,219件
33,2150-2199,4802円,58分,111%,212件
34,2200-2249,5760円,53分,114.5%,199件
35,2250-2299,5836円,53分,114.8%,194件
36,2300-2349,5465円,50分,114.7%,184件
37,2350-2399,6603円,44分,119.9%,172件
38,2400-2449,6026円,46分,117.4%,168件
39,2450-2499,6881円,43分,121.4%,147件
40,2500-2549,7093円,43分,122.1%,162件
41,2550-2599,7622円,40分,125.4%,145件
42,2600-2649,8124円,37分,128.9%,144件
43,2650-2699,8789円,36分,132.5%,171件
44,2700-2749,8979円,34分,134.8%,145件
45,2750-2799,10182円,31分,143.6%,132件
46,2800-2849,11589円,28分,155.3%,136件
47,2850-2899,11964円,27分,159.8%,124件
48,2900-2949,12658円,22分,175.3%,108件
