,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,400-449,1641円,148分,101.5%,377件
1,450-499,364円,150分,100.3%,604件
2,500-549,125円,148分,100.1%,706件
3,550-599,1294円,142分,101.2%,767件
4,600-649,863円,142分,100.8%,757件
5,650-699,1046円,139分,101%,794件
6,700-749,1187円,139分,101.1%,797件
7,750-799,948円,139分,100.9%,810件
8,800-849,1334円,136分,101.3%,820件
9,850-899,1373円,133分,101.4%,793件
10,900-949,2250円,130分,102.3%,756件
11,950-999,1245円,130分,101.3%,903件
12,1000-1049,2014円,123分,102.2%,896件
13,1050-1099,1846円,123分,102%,944件
14,1100-1149,2429円,121分,102.7%,805件
15,1150-1199,2399円,116分,102.8%,809件
16,1200-1249,2378円,118分,102.7%,736件
17,1250-1299,3020円,114分,103.5%,713件
18,1300-1349,3113円,113分,103.7%,628件
19,1350-1399,2449円,108分,103%,578件
20,1400-1449,2939円,104分,103.8%,586件
21,1450-1499,3824円,103分,104.9%,537件
22,1500-1549,2964円,102分,103.9%,507件
23,1550-1599,3689円,98分,105%,556件
24,1600-1649,3848円,94分,105.5%,532件
25,1650-1699,3855円,92分,105.6%,526件
26,1700-1749,4623円,90分,106.8%,430件
27,1750-1799,4530円,86分,107%,447件
28,1800-1849,4983円,83分,108%,442件
29,1850-1899,4696円,80分,107.8%,432件
30,1900-1949,4593円,76分,108%,423件
31,1950-1999,5401円,73分,109.9%,392件
32,2000-2049,5383円,70分,110.2%,376件
33,2050-2099,5082円,65分,110.4%,377件
34,2100-2149,5379円,63分,111.4%,355件
35,2150-2199,5494円,58分,112.5%,351件
36,2200-2249,6060円,56分,114.3%,329件
37,2250-2299,5843円,53分,114.7%,320件
38,2300-2349,6527円,48分,118%,318件
39,2350-2399,6860円,46分,119.8%,312件
40,2400-2449,7138円,46分,120.8%,276件
41,2450-2499,7108円,44分,121.3%,269件
42,2500-2549,7211円,43分,122.5%,264件
43,2550-2599,8366円,40分,128%,286件
44,2600-2649,8267円,39分,128.2%,241件
45,2650-2699,9322円,36分,134.4%,232件
46,2700-2749,9806円,34分,138.2%,269件
47,2750-2799,10599円,32分,144.5%,236件
48,2800-2849,11131円,28分,152.3%,250件
49,2850-2899,12263円,26分,163.2%,210件
50,2900-2949,12933円,22分,177.7%,197件
