,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,750-799,3312円,139分,103.2%,39件
1,800-849,5256円,135分,105.2%,51件
2,850-899,4362円,128分,104.6%,71件
3,900-949,5304円,132分,105.3%,60件
4,950-999,4125円,122分,104.5%,72件
5,1000-1049,5749円,129分,106%,78件
6,1050-1099,4154円,124分,104.5%,98件
7,1100-1149,3758円,119分,104.2%,82件
8,1150-1199,5122円,118分,105.8%,100件
9,1200-1249,6268円,112分,107.5%,123件
10,1250-1299,4612円,117分,105.3%,107件
11,1300-1349,5027円,117分,105.7%,123件
12,1350-1399,5316円,113分,106.3%,122件
13,1400-1449,4759円,105分,106%,130件
14,1450-1499,4575円,108分,105.7%,158件
15,1500-1549,5803円,100分,107.8%,137件
16,1550-1599,5370円,101分,107.1%,122件
17,1600-1649,5214円,100分,106.9%,134件
18,1650-1699,6339円,91分,109.3%,133件
19,1700-1749,5842円,93分,108.4%,146件
20,1750-1799,7680円,85分,112.1%,150件
21,1800-1849,4370円,85分,106.9%,132件
22,1850-1899,7676円,77分,113.3%,123件
23,1900-1949,7114円,79分,112%,128件
24,1950-1999,6158円,73分,111.3%,100件
25,2000-2049,6446円,70分,112.2%,114件
26,2050-2099,6569円,66分,113.3%,100件
27,2100-2149,8246円,60分,118.2%,121件
28,2150-2199,6509円,58分,114.9%,73件
29,2200-2249,8464円,54分,120.8%,93件
30,2250-2299,7801円,48分,121.8%,79件
31,2300-2349,8424円,49分,122.8%,83件
32,2350-2399,7692円,46分,122.5%,84件
33,2400-2449,8430円,44分,125.5%,87件
34,2450-2499,7620円,46分,121.9%,81件
35,2500-2549,8393円,43分,125.8%,68件
36,2550-2599,8698円,41分,128.1%,69件
37,2600-2649,9099円,40分,130.6%,74件
38,2650-2699,9864円,37分,135.7%,73件
39,2700-2749,10435円,33分,141.6%,51件
40,2750-2799,10617円,32分,144.9%,73件
41,2800-2849,12109円,31分,152.9%,63件
42,2850-2899,13523円,26分,170.5%,58件
43,2900-2949,13710円,23分,178.8%,41件
