,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,1100-1149,4726円,125分,105%,1052件
1,1150-1199,4969円,121分,105.5%,1028件
2,1200-1249,4662円,121分,105.1%,915件
3,1250-1299,4458円,115分,105.2%,861件
4,1300-1349,5099円,114分,106%,882件
5,1350-1399,5592円,111分,106.7%,801件
6,1400-1449,4922円,109分,106%,754件
7,1450-1499,5166円,107分,106.4%,789件
8,1500-1549,6005円,101分,107.9%,802件
9,1550-1599,5543円,99分,107.5%,748件
10,1600-1649,6316円,98分,108.6%,629件
11,1650-1699,6067円,94分,108.6%,630件
12,1700-1749,6282円,92分,109.1%,628件
13,1750-1799,5776円,89分,108.7%,612件
14,1800-1849,6004円,85分,109.4%,615件
15,1850-1899,6363円,81分,110.5%,569件
16,1900-1949,6393円,79分,110.8%,546件
17,1950-1999,6365円,73分,111.6%,542件
18,2000-2049,6457円,71分,112.1%,511件
19,2050-2099,6225円,68分,112.3%,508件
20,2100-2149,6522円,66分,113.1%,488件
21,2150-2199,6820円,62分,114.7%,476件
22,2200-2249,7139円,57分,116.6%,462件
23,2250-2299,7200円,56分,117.3%,462件
24,2300-2349,7329円,51分,119.1%,422件
25,2350-2399,7282円,50分,119.5%,407件
26,2400-2449,7306円,47分,120.6%,372件
27,2450-2499,8124円,45分,123.9%,386件
28,2500-2549,8337円,44分,125.4%,371件
29,2550-2599,8979円,42分,128.4%,358件
30,2600-2649,9569円,40分,132%,389件
31,2650-2699,10279円,38分,136.5%,350件
32,2700-2749,10750円,35分,141.1%,372件
33,2750-2799,11779円,33分,147.7%,325件
34,2800-2849,12311円,30分,154.6%,307件
35,2850-2899,13353円,27分,166.4%,282件
36,2900-2949,14233円,23分,180.9%,247件
