,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,1300-1349,5638円,114分,106.6%,15件
1,1350-1399,7053円,93分,110.1%,18件
2,1400-1449,5398円,100分,107.2%,23件
3,1450-1499,7326円,102分,109.6%,13件
4,1500-1549,5316円,97分,107.3%,13件
5,1550-1599,7051円,96分,109.8%,21件
6,1600-1649,4582円,101分,106.1%,23件
7,1650-1699,7367円,88分,111.2%,33件
8,1700-1749,6791円,92分,109.9%,21件
9,1750-1799,6113円,92分,108.9%,26件
10,1800-1849,7982円,74分,114.4%,24件
11,1850-1899,7549円,74分,113.6%,27件
12,1900-1949,3933円,69分,107.6%,20件
13,1950-1999,8066円,72分,114.9%,26件
14,2000-2049,8213円,67分,116.4%,38件
15,2050-2099,9254円,62分,120.1%,31件
16,2100-2149,6479円,61分,114.2%,31件
17,2150-2199,7859円,57分,118.5%,32件
18,2200-2249,8993円,46分,126%,23件
19,2250-2299,8044円,45分,124%,27件
20,2300-2349,8140円,39分,128%,33件
21,2350-2399,9670円,43分,130.2%,34件
22,2400-2449,6173円,43分,119.1%,34件
23,2450-2499,6351円,43分,119.6%,23件
24,2500-2549,7525円,39分,125.6%,33件
25,2550-2599,6934円,39分,123.4%,39件
26,2600-2649,7786円,36分,129%,31件
27,2650-2699,8635円,34分,134.4%,22件
28,2700-2749,10287円,30分,145.1%,26件
29,2750-2799,9810円,31分,142.6%,21件
30,2800-2849,10935円,25分,157.7%,19件
31,2850-2899,11357円,24分,162.6%,23件
32,2900-2949,13477円,23分,179.1%,23件
