,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,1350-1399,8922円,106分,111.2%,506件
1,1400-1449,9848円,104分,112.7%,526件
2,1450-1499,10880円,100分,114.5%,518件
3,1500-1549,10378円,100分,113.8%,495件
4,1550-1599,10532円,99分,114.2%,500件
5,1600-1649,10369円,93分,114.9%,484件
6,1650-1699,9662円,89分,114.5%,420件
7,1700-1749,10761円,89分,116.1%,424件
8,1750-1799,9699円,84分,115.3%,424件
9,1800-1849,10451円,82分,116.9%,409件
10,1850-1899,10061円,81分,116.5%,422件
11,1900-1949,10696円,77分,118.4%,374件
12,1950-1999,11266円,74分,120.2%,358件
13,2000-2049,11728円,72分,121.8%,371件
14,2050-2099,11710円,69分,122.8%,354件
15,2100-2149,10819円,65分,122.2%,328件
16,2150-2199,12186円,63分,125.9%,361件
17,2200-2249,12049円,59分,127.4%,340件
18,2250-2299,12009円,56分,128.8%,320件
19,2300-2349,12175円,46分,135%,307件
20,2350-2399,11385円,40分,137.9%,303件
21,2400-2449,11405円,37分,141.5%,291件
22,2450-2499,12059円,36分,144.1%,273件
23,2500-2549,12151円,35分,146%,298件
24,2550-2599,11944円,35分,146%,295件
25,2600-2649,12701円,33分,151.4%,286件
26,2650-2699,13310円,31分,156.6%,252件
27,2700-2749,13608円,31分,159.2%,250件
28,2750-2799,13959円,28分,165.8%,271件
29,2800-2849,14262円,28分,168.8%,230件
30,2850-2899,15466円,24分,185.3%,246件
31,2900-2949,15251円,23分,189.7%,211件
