,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,1250-1299,6332円,119分,107.1%,160件
1,1300-1349,6214円,117分,107.1%,148件
2,1350-1399,5992円,109分,107.4%,163件
3,1400-1449,5442円,111分,106.5%,193件
4,1450-1499,6279円,107分,107.8%,180件
5,1500-1549,6463円,104分,108.3%,150件
6,1550-1599,5866円,105分,107.5%,158件
7,1600-1649,6587円,97分,109.1%,157件
8,1650-1699,6503円,96分,109%,178件
9,1700-1749,8101円,89分,112.2%,181件
10,1750-1799,5239円,90分,107.8%,156件
11,1800-1849,8633円,83分,113.9%,164件
12,1850-1899,7987円,81分,113.1%,156件
13,1900-1949,7103円,78分,112.2%,131件
14,1950-1999,6775円,74分,112.1%,137件
15,2000-2049,7374円,68分,114.4%,127件
16,2050-2099,8301円,66分,116.9%,139件
17,2100-2149,8129円,64分,117%,102件
18,2150-2199,9072円,60分,120.2%,112件
19,2200-2249,7907円,53分,119.8%,94件
20,2250-2299,8535円,53分,121.3%,100件
21,2300-2349,7415円,49分,120.1%,96件
22,2350-2399,8171円,46分,123.5%,104件
23,2400-2449,7088円,50分,118.9%,94件
24,2450-2499,9064円,43分,128.2%,87件
25,2500-2549,9125円,43分,128.6%,92件
26,2550-2599,9230円,41分,129.9%,90件
27,2600-2649,9356円,40分,130.9%,85件
28,2650-2699,10557円,35分,140%,69件
29,2700-2749,10442円,35分,140%,86件
30,2750-2799,11564円,34分,145.8%,75件
31,2800-2849,12823円,29分,158.7%,71件
32,2850-2899,13354円,27分,167.2%,52件
33,2900-2949,14827円,24分,182.8%,63件
