,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,500-549,2301円,146分,102.1%,1138件
1,550-599,1619円,146分,101.5%,1439件
2,600-649,2117円,142分,102%,1349件
3,650-699,2624円,138分,102.5%,1216件
4,700-749,2760円,137分,102.7%,1054件
5,750-799,2485円,138分,102.4%,937件
6,800-849,2488円,135分,102.4%,918件
7,850-899,3005円,131分,103.1%,865件
8,900-949,2536円,133分,102.5%,775件
9,950-999,3470円,128分,103.6%,733件
10,1000-1049,3538円,124分,103.8%,644件
11,1050-1099,4040円,122分,104.4%,649件
12,1100-1149,3697円,120分,104.1%,1166件
13,1150-1199,3596円,117分,104.1%,645件
14,1200-1249,4196円,114分,104.9%,687件
15,1250-1299,4301円,112分,105.1%,625件
16,1300-1349,4409円,110分,105.3%,542件
17,1350-1399,3717円,109分,104.6%,516件
18,1400-1449,4709円,105分,106%,532件
19,1450-1499,4349円,104分,105.6%,461件
20,1500-1549,5173円,99分,107%,448件
21,1550-1599,5407円,97分,107.4%,423件
22,1600-1649,5104円,96分,107.1%,442件
23,1650-1699,5738円,92分,108.3%,479件
24,1700-1749,5818円,87分,108.9%,439件
25,1750-1799,5290円,87分,108.1%,429件
26,1800-1849,6423円,83分,110.4%,405件
27,1850-1899,6845円,80分,111.5%,383件
28,1900-1949,6272円,78分,110.7%,347件
29,1950-1999,7299円,74分,113.1%,396件
30,2000-2049,7714円,72分,114.3%,360件
31,2050-2099,6855円,67分,113.7%,348件
32,2100-2149,7192円,62分,115.5%,313件
33,2150-2199,7496円,58分,117.3%,321件
34,2200-2249,8205円,52分,121%,337件
35,2250-2299,7904円,51分,120.9%,307件
36,2300-2349,7637円,46分,122.2%,340件
37,2350-2399,7822円,44分,123.5%,299件
38,2400-2449,7814円,44分,123.7%,293件
39,2450-2499,8944円,41分,129.2%,311件
40,2500-2549,8575円,41分,128.2%,262件
41,2550-2599,9053円,39分,131.2%,290件
42,2600-2649,9467円,38分,133.6%,251件
43,2650-2699,9980円,35分,137.7%,240件
44,2700-2749,10497円,34分,140.6%,226件
45,2750-2799,10785円,32分,145.5%,250件
46,2800-2849,11382円,29分,153.1%,204件
47,2850-2899,12833円,26分,166%,219件
48,2900-2949,13273円,22分,178.7%,184件
