,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,550-599,1150円,141分,101.1%,928件
1,600-649,541円,141分,100.5%,1228件
2,650-699,949円,138分,100.9%,1115件
3,700-749,1444円,135分,101.4%,998件
4,750-799,1779円,132分,101.8%,886件
5,800-849,1550円,134分,101.5%,787件
6,850-899,1561円,130分,101.6%,768件
7,900-949,1996円,127分,102.1%,731件
8,950-999,1438円,129分,101.5%,639件
9,1000-1049,2615円,123分,102.8%,616件
10,1050-1099,2444円,121分,102.7%,531件
11,1100-1149,2802円,120分,103.1%,538件
12,1150-1199,2909円,115分,103.4%,980件
13,1200-1249,3000円,113分,103.5%,533件
14,1250-1299,3585円,109分,104.4%,572件
15,1300-1349,3514円,109分,104.3%,526件
16,1350-1399,3922円,106分,105%,448件
17,1400-1449,3128円,105分,104%,444件
18,1450-1499,4153円,100分,105.5%,445件
19,1500-1549,3793円,100分,105.1%,399件
20,1550-1599,4407円,95分,106.2%,368件
21,1600-1649,4982円,93分,107.2%,352件
22,1650-1699,4450円,90分,106.6%,376件
23,1700-1749,5477円,87分,108.4%,411件
24,1750-1799,5377円,82分,108.7%,373件
25,1800-1849,4664円,84分,107.4%,358件
26,1850-1899,5957円,79分,110.1%,327件
27,1900-1949,6243円,76分,110.9%,312件
28,1950-1999,5676円,74分,110.3%,285件
29,2000-2049,7307円,70分,113.9%,332件
30,2050-2099,7214円,68分,114.2%,292件
31,2100-2149,6855円,62分,114.8%,295件
32,2150-2199,7106円,57分,116.6%,256件
33,2200-2249,7230円,53分,118.1%,272件
34,2250-2299,8297円,47分,123.6%,274件
35,2300-2349,7759円,45分,123%,254件
36,2350-2399,7867円,42分,125.1%,279件
37,2400-2449,8127円,41分,126.5%,252件
38,2450-2499,7920円,41分,125.6%,239件
39,2500-2549,9183円,38分,132.4%,253件
40,2550-2599,9005円,37分,132.4%,215件
41,2600-2649,9444円,35分,135.6%,248件
42,2650-2699,9892円,34分,138.6%,211件
43,2700-2749,10173円,33分,141.6%,201件
44,2750-2799,11004円,31分,147.4%,192件
45,2800-2849,11426円,28分,155.1%,215件
46,2850-2899,11678円,25分,163%,170件
47,2900-2949,13154円,23分,177.6%,156件
