,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,400-449,538円,147分,100.5%,377件
1,450-499,-725円,149分,99.3%,604件
2,500-549,-949円,147分,99.1%,706件
3,550-599,249円,141分,100.2%,767件
4,600-649,-179円,141分,99.8%,757件
5,650-699,23円,139分,100%,794件
6,700-749,166円,138分,100.2%,797件
7,750-799,-68円,138分,99.9%,810件
8,800-849,332円,135分,100.3%,820件
9,850-899,393円,132分,100.4%,793件
10,900-949,1272円,129分,101.3%,756件
11,950-999,285円,129分,100.3%,903件
12,1000-1049,1093円,122分,101.2%,896件
13,1050-1099,928円,123分,101%,944件
14,1100-1149,1519円,120分,101.7%,805件
15,1150-1199,1532円,115分,101.8%,809件
16,1200-1249,1489円,117分,101.7%,736件
17,1250-1299,2154円,113分,102.5%,713件
18,1300-1349,2248円,112分,102.7%,628件
19,1350-1399,1643円,108分,102%,578件
20,1400-1449,2152円,104分,102.8%,586件
21,1450-1499,3027円,103分,103.9%,537件
22,1500-1549,2196円,101分,102.9%,507件
23,1550-1599,2929円,98分,104%,556件
24,1600-1649,3127円,93分,104.5%,532件
25,1650-1699,3148円,91分,104.6%,526件
26,1700-1749,3909円,90分,105.8%,430件
27,1750-1799,3854円,86分,106%,447件
28,1800-1849,4311円,83分,106.9%,442件
29,1850-1899,4063円,80分,106.8%,432件
30,1900-1949,3998円,76分,107%,423件
31,1950-1999,4820円,72分,108.9%,392件
32,2000-2049,4815円,70分,109.2%,376件
33,2050-2099,4567円,65分,109.4%,377件
34,2100-2149,4876円,62分,110.4%,355件
35,2150-2199,5031円,58分,111.6%,351件
36,2200-2249,5599円,56分,113.3%,329件
37,2250-2299,5407円,53分,113.7%,320件
38,2300-2349,6112円,48分,116.9%,318件
39,2350-2399,6467円,46分,118.8%,312件
40,2400-2449,6751円,45分,119.9%,276件
41,2450-2499,6723円,44分,120.3%,269件
42,2500-2549,6850円,42分,121.5%,264件
43,2550-2599,8006円,40分,127%,286件
44,2600-2649,7907円,39分,127.2%,241件
45,2650-2699,8962円,36分,133.3%,232件
46,2700-2749,9445円,34分,137.2%,269件
47,2750-2799,10238円,31分,143.4%,236件
48,2800-2849,10771円,28分,151.2%,250件
49,2850-2899,11902円,26分,162.1%,210件
50,2900-2949,12572円,22分,176.6%,197件
