,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,650-699,-192円,140分,99.8%,53件
1,700-749,635円,137分,100.6%,68件
2,750-799,192円,131分,100.2%,96件
3,800-849,1532円,135分,101.5%,92件
4,850-899,205円,129分,100.2%,96件
5,900-949,1429円,130分,101.5%,114件
6,950-999,55円,128分,100.1%,133件
7,1000-1049,499円,126分,100.5%,117件
8,1050-1099,1333円,122分,101.5%,143件
9,1100-1149,2205円,118分,102.5%,176件
10,1150-1199,1515円,118分,101.7%,159件
11,1200-1249,1820円,118分,102.1%,197件
12,1250-1299,1869円,115分,102.2%,180件
13,1300-1349,2269円,109分,102.8%,209件
14,1350-1399,1328円,110分,101.6%,224件
15,1400-1449,2077円,107分,102.6%,211件
16,1450-1499,2773円,100分,103.7%,175件
17,1500-1549,2151円,104分,102.7%,185件
18,1550-1599,3173円,97分,104.3%,197件
19,1600-1649,2357円,96分,103.3%,199件
20,1650-1699,4010円,89分,106%,208件
21,1700-1749,2391円,88分,103.6%,188件
22,1750-1799,4725円,83分,107.6%,186件
23,1800-1849,4571円,83分,107.3%,185件
24,1850-1899,3830円,78分,106.5%,153件
25,1900-1949,4124円,76分,107.2%,169件
26,1950-1999,4806円,70分,109.1%,153件
27,2000-2049,4994円,68分,109.8%,161件
28,2050-2099,6025円,65分,112.4%,140件
29,2100-2149,6638円,62分,114.4%,137件
30,2150-2199,5897円,55分,114.2%,112件
31,2200-2249,5817円,55分,114%,120件
32,2250-2299,6030円,52分,115.6%,125件
33,2300-2349,5799円,50分,115.6%,120件
34,2350-2399,4546円,50分,112.2%,113件
35,2400-2449,7161円,43分,122.1%,112件
36,2450-2499,6795円,43分,121.3%,109件
37,2500-2549,6988円,42分,122.2%,106件
38,2550-2599,7350円,40分,124.6%,104件
39,2600-2649,8481円,37分,131%,92件
40,2650-2699,7899円,36分,129%,101件
41,2700-2749,8893円,35分,134%,91件
42,2750-2799,10133円,31分,144%,84件
43,2800-2849,10825円,29分,150%,65件
44,2850-2899,11783円,25分,163%,83件
45,2900-2949,12384円,25分,166.2%,72件
