,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,1050-1099,1757円,125分,101.9%,25件
1,1100-1149,1966円,118分,102.2%,34件
2,1150-1199,3862円,126分,104.1%,29件
3,1200-1249,3891円,119分,104.4%,54件
4,1250-1299,4471円,107分,105.6%,48件
5,1300-1349,3414円,112分,104.1%,48件
6,1350-1399,2505円,105分,103.2%,54件
7,1400-1449,4830円,102分,106.3%,75件
8,1450-1499,5539円,100分,107.4%,62件
9,1500-1549,4046円,102分,105.3%,61件
10,1550-1599,3071円,92分,104.4%,64件
11,1600-1649,3688円,91分,105.4%,59件
12,1650-1699,4734円,92分,106.8%,72件
13,1700-1749,5118円,88分,107.8%,56件
14,1750-1799,3691円,82分,106%,73件
15,1800-1849,4335円,82分,107.1%,67件
16,1850-1899,5000円,74分,109%,58件
17,1900-1949,5299円,72分,109.8%,77件
18,1950-1999,6064円,73分,111.1%,79件
19,2000-2049,4123円,66分,108.3%,64件
20,2050-2099,6095円,64分,112.7%,81件
21,2100-2149,5348円,64分,111.1%,82件
22,2150-2199,4387円,57分,110.2%,69件
23,2200-2249,5992円,54分,114.9%,69件
24,2250-2299,5690円,54分,114.1%,67件
25,2300-2349,5696円,49分,115.6%,73件
26,2350-2399,6593円,44分,119.8%,48件
27,2400-2449,5091円,46分,114.8%,50件
28,2450-2499,5184円,46分,114.9%,54件
29,2500-2549,7329円,39分,124.8%,48件
30,2550-2599,8637円,35分,133.3%,29件
31,2600-2649,8936円,35分,134%,42件
32,2650-2699,8144円,35分,131.2%,36件
33,2700-2749,9066円,33分,136.2%,41件
34,2750-2799,9614円,33分,139.3%,48件
35,2800-2849,11454円,27分,156%,34件
36,2850-2899,12147円,25分,164.8%,25件
37,2900-2949,13352円,23分,177.9%,40件
