,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,1350-1399,6657円,109分,108.2%,101件
1,1400-1449,6198円,105分,107.8%,110件
2,1450-1499,5125円,106分,106.5%,131件
3,1500-1549,5903円,103分,107.7%,113件
4,1550-1599,6136円,98分,108.3%,144件
5,1600-1649,6655円,95分,109.3%,130件
6,1650-1699,7101円,95分,110%,138件
7,1700-1749,7715円,95分,110.8%,127件
8,1750-1799,6976円,88分,110.6%,113件
9,1800-1849,6446円,84分,110.2%,144件
10,1850-1899,6707円,79分,111.3%,139件
11,1900-1949,5995円,79分,110.1%,125件
12,1950-1999,8229円,75分,114.7%,126件
13,2000-2049,6827円,71分,112.9%,93件
14,2050-2099,5186円,70分,109.8%,98件
15,2100-2149,7294円,69分,114%,90件
16,2150-2199,8101円,64分,116.9%,91件
17,2200-2249,7786円,56分,118.5%,106件
18,2250-2299,8318円,53分,120.9%,87件
19,2300-2349,8354円,48分,123%,83件
20,2350-2399,7515円,48分,120.9%,86件
21,2400-2449,8450円,45分,124.8%,81件
22,2450-2499,7891円,44分,123.7%,64件
23,2500-2549,8370円,45分,125%,80件
24,2550-2599,8783円,44分,126.7%,76件
25,2600-2649,9518円,40分,131.9%,66件
26,2650-2699,10785円,38分,137.6%,60件
27,2700-2749,10647円,36分,139.6%,51件
28,2750-2799,12005円,32分,150.3%,54件
29,2800-2849,12708円,31分,154.5%,74件
30,2850-2899,13271円,27分,164.4%,63件
31,2900-2949,14921円,24分,183.3%,47件
