,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,600-649,1366円,141分,101.3%,75件
1,650-699,2606円,141分,102.5%,124件
2,700-749,2772円,138分,102.7%,252件
3,750-799,2677円,135分,102.6%,306件
4,800-849,4317円,127分,104.5%,315件
5,850-899,3307円,129分,103.4%,297件
6,900-949,3866円,126分,104.1%,340件
7,950-999,3790円,126分,104%,325件
8,1000-1049,3481円,127分,103.6%,331件
9,1050-1099,4597円,118分,105.2%,344件
10,1100-1149,4173円,120分,104.6%,322件
11,1150-1199,4832円,113分,105.7%,293件
12,1200-1249,4129円,117分,104.7%,362件
13,1250-1299,4660円,110分,105.7%,350件
14,1300-1349,5014円,109分,106.1%,394件
15,1350-1399,5186円,108分,106.4%,296件
16,1400-1449,4863円,102分,106.4%,328件
17,1450-1499,5928円,104分,107.6%,262件
18,1500-1549,5345円,98分,107.3%,279件
19,1550-1599,5859円,98分,108%,249件
20,1600-1649,5173円,90分,107.7%,232件
21,1650-1699,6587円,90分,109.7%,238件
22,1700-1749,6430円,88分,109.8%,199件
23,1750-1799,6512円,85分,110.3%,220件
24,1800-1849,7744円,80分,112.9%,234件
25,1850-1899,6478円,78分,111%,231件
26,1900-1949,6933円,78分,111.9%,217件
27,1950-1999,6957円,75分,112.4%,168件
28,2000-2049,7207円,70分,113.8%,182件
29,2050-2099,8213円,66分,116.7%,168件
30,2100-2149,8639円,63分,118.2%,180件
31,2150-2199,7301円,60分,116.3%,167件
32,2200-2249,8461円,55分,120.5%,169件
33,2250-2299,8230円,48分,122.6%,166件
34,2300-2349,7801円,44分,123.4%,164件
35,2350-2399,8932円,40分,129.5%,146件
36,2400-2449,9654円,38分,133.5%,145件
37,2450-2499,9522円,38分,133.1%,129件
38,2500-2549,8827円,39分,130.3%,126件
39,2550-2599,9832円,36分,136.5%,105件
40,2600-2649,10320円,36分,138.3%,120件
41,2650-2699,11421円,34分,144.7%,117件
42,2700-2749,11060円,34分,143.3%,113件
43,2750-2799,11650円,29分,153%,113件
44,2800-2849,11902円,29分,155%,111件
45,2850-2899,12878円,26分,165%,91件
46,2900-2949,13520円,22分,181.1%,74件
