,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,350-399,-1125円,150分,99%,18671件
1,400-449,-893円,150分,99.2%,5709件
2,450-499,-368円,147分,99.7%,3014件
3,500-549,-260円,145分,99.8%,2063件
4,550-599,-190円,144分,99.8%,1729件
5,600-649,-369円,142分,99.7%,1427件
6,650-699,-43円,141分,100%,1407件
7,700-749,197円,137分,100.2%,1327件
8,750-799,219円,136分,100.2%,1374件
9,800-849,595円,132分,100.6%,1227件
10,850-899,322円,130分,100.3%,1245件
11,900-949,768円,128分,100.8%,1288件
12,950-999,965円,129分,101%,1274件
13,1000-1049,935円,125分,101%,1144件
14,1050-1099,1417円,120分,101.6%,1355件
15,1100-1149,1559円,118分,101.8%,1351件
16,1150-1199,1841円,116分,102.1%,1294件
17,1200-1249,2399円,115分,102.8%,1247件
18,1250-1299,2717円,113分,103.2%,1223件
19,1300-1349,2191円,111分,102.6%,1209件
20,1350-1399,2352円,107分,102.9%,1112件
21,1400-1449,2609円,104分,103.3%,1061件
22,1450-1499,3069円,102分,104%,998件
23,1500-1549,2542円,100分,103.4%,1018件
24,1550-1599,3304円,97分,104.6%,1023件
25,1600-1649,3159円,94分,104.5%,1003件
26,1650-1699,3542円,90分,105.2%,943件
27,1700-1749,3657円,88分,105.5%,864件
28,1750-1799,3994円,87分,106.1%,913件
29,1800-1849,4404円,82分,107.1%,863件
30,1850-1899,4187円,79分,107%,847件
31,1900-1949,4717円,77分,108.1%,867件
32,1950-1999,4765円,75分,108.5%,846件
33,2000-2049,5382円,71分,110.1%,772件
34,2050-2099,5384円,66分,110.9%,802件
35,2100-2149,5223円,62分,111.3%,787件
36,2150-2199,5255円,57分,112.3%,723件
37,2200-2249,5927円,54分,114.6%,719件
38,2250-2299,6087円,51分,115.9%,712件
39,2300-2349,5994円,48分,116.8%,678件
40,2350-2399,6186円,45分,118.2%,694件
41,2400-2449,6815円,43分,121.2%,652件
42,2450-2499,6956円,41分,122.4%,636件
43,2500-2549,7167円,41分,123.2%,613件
44,2550-2599,7814円,40分,126.1%,567件
45,2600-2649,8535円,37分,130.8%,609件
46,2650-2699,8670円,36分,132.2%,555件
47,2700-2749,9132円,33分,136.8%,575件
48,2750-2799,9975円,31分,142.4%,522件
49,2800-2849,9659円,32分,140.4%,461件
