,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,600-649,3277円,137分,103.2%,7406件
1,650-699,3589円,136分,103.5%,2369件
2,700-749,3871円,133分,103.9%,1246件
3,750-799,3733円,131分,103.8%,854件
4,800-849,4234円,129分,104.4%,716件
5,850-899,4143円,129分,104.3%,600件
6,900-949,4744円,125分,105.1%,567件
7,950-999,5142円,121分,105.7%,566件
8,1000-1049,4542円,121分,105%,562件
9,1050-1099,5177円,119分,105.8%,498件
10,1100-1149,5009円,116分,105.7%,507件
11,1150-1199,5252円,117分,106%,545件
12,1200-1249,6014円,115分,107%,524件
13,1250-1299,5360円,110分,106.5%,477件
14,1300-1349,5592円,107分,107%,575件
15,1350-1399,5454円,103分,107.1%,506件
16,1400-1449,6381円,100分,108.5%,526件
17,1450-1499,7424円,97分,110.2%,518件
18,1500-1549,6948円,97分,109.5%,495件
19,1550-1599,7133円,96分,109.9%,500件
20,1600-1649,7169円,90分,110.6%,484件
21,1650-1699,6649円,86分,110.3%,420件
22,1700-1749,7653円,87分,111.8%,424件
23,1750-1799,6828円,82分,111.1%,424件
24,1800-1849,7562円,80分,112.6%,409件
25,1850-1899,7260円,79分,112.3%,422件
26,1900-1949,7966円,75分,114.2%,374件
27,1950-1999,8543円,72分,115.9%,358件
28,2000-2049,9060円,69分,117.4%,371件
29,2050-2099,9134円,66分,118.4%,354件
30,2100-2149,8428円,63分,117.9%,328件
31,2150-2199,9735円,61分,121.4%,361件
32,2200-2249,9734円,57分,123%,340件
33,2250-2299,9813円,54分,124.4%,320件
34,2300-2349,10235円,45分,130.5%,307件
35,2350-2399,9712円,39分,133.6%,303件
36,2400-2449,9826円,35分,137.2%,291件
37,2450-2499,10480円,35分,139.9%,273件
38,2500-2549,10571円,34分,141.7%,298件
39,2550-2599,10364円,33分,141.6%,295件
40,2600-2649,11121円,32分,147%,286件
41,2650-2699,11731円,30分,152.2%,252件
42,2700-2749,12029円,29分,154.9%,250件
43,2750-2799,12379円,27分,161.4%,271件
44,2800-2849,12683円,26分,164.4%,230件
45,2850-2899,13887円,23分,181.3%,246件
46,2900-2949,13671円,21分,185.8%,211件
