,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,50-99,-2947円,163分,97.6%,5954件
1,100-149,-3085円,163分,97.5%,7376件
2,150-199,-3133円,162分,97.4%,6500件
3,200-249,-2612円,159分,97.8%,6166件
4,250-299,-2508円,157分,97.9%,5332件
5,300-349,-2355円,155分,98%,4939件
6,350-399,-2315円,153分,98%,4558件
7,400-449,-2160円,151分,98.1%,4320件
8,450-499,-1921円,148分,98.3%,3944件
9,500-549,-1812円,147分,98.4%,3785件
10,550-599,-1365円,145分,98.7%,3537件
11,600-649,-1266円,144分,98.8%,3332件
12,650-699,-1204円,140分,98.9%,6169件
13,700-749,-1223円,140分,98.8%,3485件
14,750-799,-1178円,138分,98.9%,3527件
15,800-849,-702円,135分,99.3%,2996件
16,850-899,-432円,132分,99.6%,2731件
17,900-949,-563円,130分,99.4%,2661件
18,950-999,-707円,129分,99.3%,2508件
19,1000-1049,-268円,124分,99.7%,2456件
20,1050-1099,43円,122分,100%,2499件
21,1100-1149,814円,121分,100.9%,2339件
22,1150-1199,359円,119分,100.4%,2370件
23,1200-1249,897円,115分,101%,2319件
24,1250-1299,682円,113分,100.8%,2234件
25,1300-1349,808円,111分,101%,2274件
26,1350-1399,1475円,107分,101.8%,2128件
27,1400-1449,1649円,106分,102.1%,2150件
28,1450-1499,1622円,103分,102.1%,1995件
29,1500-1549,2050円,99分,102.8%,2020件
30,1550-1599,2418円,98分,103.3%,1925件
31,1600-1649,1977円,95分,102.8%,1894件
32,1650-1699,2531円,91分,103.7%,1804件
33,1700-1749,2712円,89分,104.1%,1804件
34,1750-1799,2411円,85分,103.8%,1732件
35,1800-1849,2707円,82分,104.4%,1697件
36,1850-1899,3095円,78分,105.3%,1721件
37,1900-1949,3481円,77分,106%,1624件
38,1950-1999,3253円,73分,105.9%,1619件
39,2000-2049,3904円,71分,107.4%,1587件
40,2050-2099,3931円,68分,107.7%,1463件
41,2100-2149,3867円,64分,108%,1448件
42,2150-2199,4604円,62分,109.9%,1441件
43,2200-2249,4637円,57分,110.8%,1422件
44,2250-2299,4755円,54分,111.6%,1324件
45,2300-2349,4998円,51分,113.1%,1348件
46,2350-2399,5474円,48分,115.3%,1247件
47,2400-2449,5936円,45分,117.4%,1269件
48,2450-2499,6236円,44分,118.8%,1190件
49,2500-2549,6964円,42分,121.9%,1088件
50,2550-2599,7320円,40分,124.4%,880件
51,2600-2649,7733円,39分,126.7%,781件
52,2650-2699,8281円,36分,130.4%,584件
53,2700-2749,9342円,34分,136.4%,481件
54,2750-2799,9871円,31分,142.2%,379件
55,2800-2849,11101円,29分,151.5%,333件
56,2850-2899,11610円,26分,158.9%,258件
57,2900-2949,12559円,23分,172.5%,177件
