,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,1150-1199,4263円,121分,104.7%,1710件
1,1200-1249,4941円,120分,105.5%,1539件
2,1250-1299,4273円,117分,104.9%,1573件
3,1300-1349,4824円,113分,105.7%,1592件
4,1350-1399,4243円,111分,105.1%,1507件
5,1400-1449,4625円,109分,105.6%,1543件
6,1450-1499,5256円,105分,106.6%,1458件
7,1500-1549,5211円,103分,106.8%,1454件
8,1550-1599,5365円,101分,107.1%,1335件
9,1600-1649,5375円,97分,107.4%,1347件
10,1650-1699,5668円,96分,107.9%,1269件
11,1700-1749,5116円,92分,107.4%,1261件
12,1750-1799,5591円,89分,108.4%,1192件
13,1800-1849,5764円,85分,109%,1204件
14,1850-1899,5613円,82分,109.1%,1177件
15,1900-1949,5777円,79分,109.8%,1119件
16,1950-1999,5636円,74分,110.2%,1143件
17,2000-2049,6096円,72分,111.3%,1100件
18,2050-2099,5969円,69分,111.5%,1087件
19,2100-2149,6550円,66分,113.2%,1076件
20,2150-2199,6458円,63分,113.6%,988件
21,2200-2249,6187円,59分,113.9%,970件
22,2250-2299,6628円,57分,115.6%,960件
23,2300-2349,6994円,52分,118%,968件
24,2350-2399,7115円,50分,119.1%,885件
25,2400-2449,7279円,47分,120.7%,938件
26,2450-2499,7940円,45分,123.3%,844件
27,2500-2549,8325円,44分,125%,826件
28,2550-2599,8807円,42分,127.7%,786件
29,2600-2649,9379円,41分,130.5%,700件
30,2650-2699,10086円,38分,135.3%,584件
31,2700-2749,10757円,36分,140.3%,514件
32,2750-2799,11432円,33分,146.8%,397件
33,2800-2849,12476円,30分,155.7%,300件
34,2850-2899,13393円,26分,167.5%,266件
35,2900-2949,14460円,24分,180.3%,182件
