,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,1100-1149,2796円,122分,103%,23件
1,1150-1199,2268円,114分,102.6%,29件
2,1200-1249,4759円,121分,105.2%,28件
3,1250-1299,4254円,115分,104.9%,42件
4,1300-1349,4602円,105分,105.9%,38件
5,1350-1399,3695円,111分,104.5%,42件
6,1400-1449,3274円,102分,104.3%,51件
7,1450-1499,4990円,97分,106.8%,64件
8,1500-1549,5337円,100分,107.1%,43件
9,1550-1599,4738円,98分,106.4%,49件
10,1600-1649,2972円,92分,104.3%,50件
11,1650-1699,3925円,88分,105.9%,52件
12,1700-1749,5069円,87分,107.8%,61件
13,1750-1799,5255円,83分,108.5%,49件
14,1800-1849,3231円,80分,105.4%,58件
15,1850-1899,5116円,77分,108.9%,61件
16,1900-1949,4445円,70分,108.5%,42件
17,1950-1999,5661円,69分,111%,62件
18,2000-2049,6494円,69分,112.6%,62件
19,2050-2099,3852円,63分,108.1%,54件
20,2100-2149,6258円,60分,114%,67件
21,2150-2199,5272円,61分,111.6%,67件
22,2200-2249,4858円,53分,112.3%,61件
23,2250-2299,6244円,49分,117.1%,57件
24,2300-2349,6318円,49分,117.3%,58件
25,2350-2399,5543円,45分,116.4%,58件
26,2400-2449,7184円,42分,122.9%,40件
27,2450-2499,5499円,45分,116.4%,41件
28,2500-2549,6265円,43分,119.3%,47件
29,2550-2599,8882円,37分,131.9%,39件
30,2600-2649,9354円,31分,139.7%,25件
31,2650-2699,9609円,32分,140.1%,30件
32,2700-2749,8826円,34分,135%,29件
33,2750-2799,10088円,30分,144.4%,36件
34,2800-2849,10532円,29分,148.3%,35件
35,2850-2899,12227円,24分,167.4%,28件
36,2900-2949,12719円,21分,180.3%,18件
