,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,600-649,366円,146分,100.3%,112件
1,650-699,687円,143分,100.6%,135件
2,700-749,649円,133分,100.6%,156件
3,750-799,-962円,138分,99.1%,189件
4,800-849,1621円,133分,101.6%,210件
5,850-899,852円,132分,100.9%,229件
6,900-949,1733円,126分,101.8%,272件
7,950-999,458円,130分,100.5%,277件
8,1000-1049,1557円,127分,101.6%,269件
9,1050-1099,2307円,122分,102.5%,311件
10,1100-1149,1032円,123分,101.1%,327件
11,1150-1199,1408円,118分,101.6%,360件
12,1200-1249,2764円,114分,103.2%,353件
13,1250-1299,2786円,116分,103.2%,351件
14,1300-1349,2542円,109分,103.1%,342件
15,1350-1399,3395円,103分,104.4%,343件
16,1400-1449,2969円,104分,103.8%,330件
17,1450-1499,3186円,103分,104.1%,334件
18,1500-1549,3121円,100分,104.2%,283件
19,1550-1599,2478円,98分,103.4%,273件
20,1600-1649,3198円,95分,104.5%,274件
21,1650-1699,3790円,91分,105.6%,286件
22,1700-1749,3783円,88分,105.7%,249件
23,1750-1799,3320円,86分,105.1%,255件
24,1800-1849,4203円,85分,106.6%,263件
25,1850-1899,4583円,78分,107.8%,223件
26,1900-1949,5022円,79分,108.4%,199件
27,1950-1999,4966円,72分,109.2%,216件
28,2000-2049,6203円,68分,112.1%,197件
29,2050-2099,3910円,68分,107.7%,173件
30,2100-2149,6033円,62分,113.1%,162件
31,2150-2199,5134円,58分,111.8%,179件
32,2200-2249,5581円,54分,113.7%,184件
33,2250-2299,6794円,49分,118.6%,164件
34,2300-2349,6556円,49分,118%,157件
35,2350-2399,5847円,47分,116.6%,143件
36,2400-2449,7475円,42分,123.5%,140件
37,2450-2499,6573円,45分,119.5%,140件
38,2500-2549,7494円,41分,124.2%,123件
39,2550-2599,8152円,40分,126.9%,130件
40,2600-2649,7830円,40分,126.4%,114件
41,2650-2699,8867円,35分,133.5%,120件
42,2700-2749,9749円,34分,138.1%,145件
43,2750-2799,10143円,31分,143.1%,124件
44,2800-2849,11086円,28分,152%,110件
45,2850-2899,12767円,25分,167.5%,107件
46,2900-2949,12934円,23分,173.7%,102件
