,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,450-499,-1311円,152分,98.8%,56件
1,500-549,-745円,149分,99.3%,87件
2,550-599,-369円,146分,99.7%,112件
3,600-649,-876円,141分,99.2%,151件
4,650-699,447円,140分,100.4%,157件
5,700-749,305円,139分,100.3%,171件
6,750-799,249円,137分,100.2%,193件
7,800-849,-192円,137分,99.8%,235件
8,850-899,376円,133分,100.4%,231件
9,900-949,719円,131分,100.7%,232件
10,950-999,1616円,126分,101.7%,306件
11,1000-1049,1822円,124分,102%,287件
12,1050-1099,1013円,123分,101.1%,342件
13,1100-1149,1820円,123分,102%,332件
14,1150-1199,1384円,118分,101.6%,341件
15,1200-1249,1024円,116分,101.2%,389件
16,1250-1299,1810円,116分,102.1%,381件
17,1300-1349,2112円,111分,102.5%,323件
18,1350-1399,1522円,113分,101.8%,337件
19,1400-1449,2257円,105分,102.9%,351件
20,1450-1499,1733円,105分,102.2%,339件
21,1500-1549,2585円,100分,103.5%,341件
22,1550-1599,2069円,97分,102.9%,334件
23,1600-1649,3831円,94分,105.4%,333件
24,1650-1699,4003円,92分,105.8%,368件
25,1700-1749,3061円,88分,104.6%,295件
26,1750-1799,3365円,86分,105.2%,300件
27,1800-1849,4146円,81分,106.8%,283件
28,1850-1899,4302円,77分,107.5%,280件
29,1900-1949,4922円,75分,108.7%,255件
30,1950-1999,4859円,73分,108.9%,248件
31,2000-2049,4796円,68分,109.4%,229件
32,2050-2099,5504円,67分,111%,227件
33,2100-2149,5843円,62分,112.5%,224件
34,2150-2199,4906円,61分,110.7%,221件
35,2200-2249,3664円,60分,108.1%,199件
36,2250-2299,5562円,52分,114.3%,184件
37,2300-2349,5564円,51分,114.6%,181件
38,2350-2399,5870円,47分,116.5%,188件
39,2400-2449,5915円,46分,117%,185件
40,2450-2499,6504円,43分,120.1%,158件
41,2500-2549,6197円,43分,119.3%,172件
42,2550-2599,6879円,42分,121.7%,140件
43,2600-2649,8405円,37分,130.1%,158件
44,2650-2699,9006円,37分,132.5%,125件
45,2700-2749,9559円,33分,138.6%,155件
46,2750-2799,9822円,34分,139%,123件
47,2800-2849,11073円,29分,151.3%,116件
48,2850-2899,12250円,25分,164.8%,113件
49,2900-2949,13014円,23分,175.3%,116件
