,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,900-949,3354円,131分,103.4%,2257件
1,950-999,3776円,130分,103.9%,2348件
2,1000-1049,4072円,127分,104.3%,2191件
3,1050-1099,4136円,125分,104.4%,2145件
4,1100-1149,4100円,124分,104.4%,2034件
5,1150-1199,3839円,122分,104.2%,2038件
6,1200-1249,4142円,118分,104.7%,1899件
7,1250-1299,4469円,113分,105.3%,1879件
8,1300-1349,4495円,113分,105.3%,1779件
9,1350-1399,4370円,111分,105.3%,1730件
10,1400-1449,4917円,107分,106.1%,1732件
11,1450-1499,4557円,105分,105.8%,1729件
12,1500-1549,4657円,101分,106.1%,1619件
13,1550-1599,4919円,99分,106.6%,1562件
14,1600-1649,5496円,97分,107.5%,1620件
15,1650-1699,5506円,93分,107.9%,1498件
16,1700-1749,5532円,91分,108.1%,1512件
17,1750-1799,5647円,89分,108.5%,1508件
18,1800-1849,5359円,87分,108.2%,1416件
19,1850-1899,5970円,83分,109.6%,1354件
20,1900-1949,5715円,78分,109.7%,1405件
21,1950-1999,5861円,75分,110.5%,1331件
22,2000-2049,5625円,70分,110.7%,1275件
23,2050-2099,6245円,67分,112.3%,1275件
24,2100-2149,6690円,64分,113.8%,1230件
25,2150-2199,6341円,61分,113.9%,1191件
26,2200-2249,6505円,58分,115%,1193件
27,2250-2299,6692円,54分,116.4%,1180件
28,2300-2349,6920円,51分,118.1%,1143件
29,2350-2399,6903円,49分,118.9%,1047件
30,2400-2449,7654円,45分,122.6%,1064件
31,2450-2499,7622円,45分,122.7%,1024件
32,2500-2549,7993円,44分,124.4%,986件
33,2550-2599,8423円,41分,127.3%,1018件
34,2600-2649,9004円,40分,130.3%,949件
35,2650-2699,9134円,39分,130.9%,808件
