,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,450-499,845円,151分,100.7%,2450件
1,500-549,1210円,150分,101.1%,2392件
2,550-599,1313円,146分,101.2%,2284件
3,600-649,1263円,146分,101.2%,2246件
4,650-699,1515円,141分,101.4%,2187件
5,700-749,1457円,140分,101.4%,2193件
6,750-799,1408円,138分,101.4%,2145件
7,800-849,2023円,136分,102%,2220件
8,850-899,1893円,135分,101.9%,2035件
9,900-949,2005円,130分,102.1%,2257件
10,950-999,2431円,129分,102.5%,2348件
11,1000-1049,2745円,126分,102.9%,2191件
12,1050-1099,2832円,124分,103.1%,2145件
13,1100-1149,2804円,123分,103%,2034件
14,1150-1199,2574円,121分,102.8%,2038件
15,1200-1249,2906円,117分,103.3%,1899件
16,1250-1299,3276円,112分,103.9%,1879件
17,1300-1349,3302円,112分,103.9%,1779件
18,1350-1399,3207円,110分,103.9%,1730件
19,1400-1449,3773円,106分,104.7%,1732件
20,1450-1499,3452円,104分,104.4%,1729件
21,1500-1549,3589円,100分,104.8%,1619件
22,1550-1599,3854円,99分,105.2%,1562件
23,1600-1649,4443円,96分,106.1%,1620件
24,1650-1699,4499円,92分,106.5%,1498件
25,1700-1749,4542円,90分,106.7%,1512件
26,1750-1799,4681円,88分,107.1%,1508件
27,1800-1849,4426円,86分,106.9%,1416件
28,1850-1899,5060円,82分,108.2%,1354件
29,1900-1949,4858円,78分,108.3%,1405件
30,1950-1999,5043円,74分,109.1%,1331件
31,2000-2049,4857円,70分,109.3%,1275件
32,2050-2099,5495円,67分,111%,1275件
33,2100-2149,5959円,64分,112.5%,1230件
34,2150-2199,5653円,60分,112.5%,1191件
35,2200-2249,5846円,57分,113.6%,1193件
36,2250-2299,6066円,54分,115%,1180件
37,2300-2349,6322円,51分,116.7%,1143件
38,2350-2399,6336円,48分,117.5%,1047件
39,2400-2449,7101円,45分,121.2%,1064件
40,2450-2499,7069円,44分,121.2%,1024件
41,2500-2549,7440円,43分,123%,986件
42,2550-2599,7870円,41分,125.8%,1018件
43,2600-2649,8451円,39分,128.8%,949件
44,2650-2699,8581円,39分,129.4%,808件
