,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,500-549,422円,143分,100.4%,98件
1,550-599,-276円,147分,99.7%,126件
2,600-649,248円,145分,100.2%,155件
3,650-699,361円,137分,100.4%,183件
4,700-749,-1282円,140分,98.8%,226件
5,750-799,1037円,136分,101%,245件
6,800-849,920円,135分,100.9%,273件
7,850-899,1154円,131分,101.2%,322件
8,900-949,592円,132分,100.6%,338件
9,950-999,1581円,126分,101.7%,336件
10,1000-1049,1834円,125分,102%,364件
11,1050-1099,810円,125分,100.9%,393件
12,1100-1149,1057円,122分,101.2%,437件
13,1150-1199,2121円,116分,102.4%,412件
14,1200-1249,2519円,118分,102.8%,425件
15,1250-1299,2081円,112分,102.5%,411件
16,1300-1349,2990円,106分,103.8%,405件
17,1350-1399,2499円,107分,103.1%,388件
18,1400-1449,2732円,106分,103.4%,401件
19,1450-1499,2978円,103分,103.8%,350件
20,1500-1549,2123円,101分,102.8%,330件
21,1550-1599,3122円,96分,104.3%,339件
22,1600-1649,3389円,94分,104.8%,339件
23,1650-1699,3682円,89分,105.5%,305件
24,1700-1749,3203円,87分,104.9%,312件
25,1750-1799,3972円,87分,106.1%,307件
26,1800-1849,4138円,81分,106.8%,273件
27,1850-1899,4530円,82分,107.4%,243件
28,1900-1949,4668円,77分,108.1%,269件
29,1950-1999,5595円,72分,110.4%,234件
30,2000-2049,4076円,70分,107.7%,212件
31,2050-2099,5479円,66分,111.1%,192件
32,2100-2149,4861円,61分,110.6%,219件
33,2150-2199,5046円,58分,111.5%,212件
34,2200-2249,5995円,53分,115%,199件
35,2250-2299,6065円,53分,115.3%,194件
36,2300-2349,5677円,50分,115.2%,184件
37,2350-2399,6806円,44分,120.5%,172件
38,2400-2449,6227円,46分,117.9%,168件
39,2450-2499,7082円,43分,121.9%,147件
40,2500-2549,7219円,43分,122.4%,162件
41,2550-2599,7747円,40分,125.7%,145件
42,2600-2649,8249円,38分,129.3%,144件
43,2650-2699,8915円,36分,132.9%,171件
44,2700-2749,9105円,35分,135.2%,145件
45,2750-2799,10308円,31分,144%,132件
46,2800-2849,11715円,28分,155.7%,136件
47,2850-2899,12090円,27分,160.2%,124件
48,2900-2949,12783円,23分,175.7%,108件
