,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,650-699,1962円,143分,101.8%,1153件
1,700-749,2654円,143分,102.5%,1220件
2,750-799,2480円,138分,102.4%,1175件
3,800-849,3601円,136分,103.5%,1125件
4,850-899,2412円,137分,102.3%,1331件
5,900-949,2822円,131分,102.9%,1295件
6,950-999,2866円,129分,103%,1341件
7,1000-1049,3655円,127分,103.9%,1192件
8,1050-1099,3324円,124分,103.6%,1180件
9,1100-1149,3537円,124分,103.8%,1052件
10,1150-1199,3815円,120分,104.2%,1028件
11,1200-1249,3516円,120分,103.9%,915件
12,1250-1299,3385円,114分,104%,861件
13,1300-1349,4010円,113分,104.7%,882件
14,1350-1399,4526円,110分,105.5%,801件
15,1400-1449,3885円,108分,104.8%,754件
16,1450-1499,4137円,106分,105.2%,789件
17,1500-1549,5015円,100分,106.7%,802件
18,1550-1599,4588円,98分,106.3%,748件
19,1600-1649,5347円,97分,107.4%,629件
20,1650-1699,5141円,94分,107.3%,630件
21,1700-1749,5367円,91分,107.9%,628件
22,1750-1799,4912円,88分,107.4%,612件
23,1800-1849,5173円,84分,108.2%,615件
24,1850-1899,5565円,80分,109.3%,569件
25,1900-1949,5606円,78分,109.6%,546件
26,1950-1999,5641円,72分,110.4%,542件
27,2000-2049,5750円,70分,110.9%,511件
28,2050-2099,5559円,67分,111.1%,508件
29,2100-2149,5860円,66分,111.9%,488件
30,2150-2199,6190円,61分,113.5%,476件
31,2200-2249,6538円,57分,115.3%,462件
32,2250-2299,6627円,55分,116%,462件
33,2300-2349,6803円,51分,117.9%,422件
34,2350-2399,6766円,49分,118.3%,407件
35,2400-2449,6804円,47分,119.4%,372件
36,2450-2499,7622円,45分,122.6%,386件
37,2500-2549,7834円,43分,124.1%,371件
38,2550-2599,8476円,42分,127.1%,358件
39,2600-2649,9067円,39分,130.6%,389件
40,2650-2699,9777円,37分,135.1%,350件
41,2700-2749,10248円,34分,139.6%,372件
42,2750-2799,11277円,32分,146.3%,325件
43,2800-2849,11808円,30分,153.2%,307件
44,2850-2899,12851円,26分,164.9%,282件
45,2900-2949,13730円,23分,179.6%,247件
