,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,500-549,2085円,144分,101.9%,10644件
1,550-599,2415円,143分,102.3%,3412件
2,600-649,2839円,141分,102.7%,1796件
3,650-699,2853円,139分,102.7%,1224件
4,700-749,2855円,136分,102.8%,1020件
5,750-799,3083円,135分,103%,858件
6,800-849,3353円,133分,103.4%,810件
7,850-899,3664円,129分,103.8%,796件
8,900-949,3365円,128分,103.5%,803件
9,950-999,3725円,126分,103.9%,731件
10,1000-1049,3657円,123分,104%,719件
11,1050-1099,3968円,123分,104.3%,770件
12,1100-1149,4475円,122分,104.9%,743件
13,1150-1199,3898円,117分,104.4%,683件
14,1200-1249,4146円,113分,104.9%,798件
15,1250-1299,4411円,111分,105.3%,742件
16,1300-1349,4884円,109分,106%,727件
17,1350-1399,5923円,106分,107.5%,738件
18,1400-1449,6109円,105分,107.8%,709件
19,1450-1499,5337円,104分,106.9%,716件
20,1500-1549,5603円,98分,107.6%,677件
21,1550-1599,5010円,95分,107%,596件
22,1600-1649,6255円,94分,108.9%,587件
23,1650-1699,5474円,90分,108.1%,602件
24,1700-1749,6105円,88分,109.3%,576件
25,1750-1799,6016円,85分,109.4%,606件
26,1800-1849,6597円,82分,110.8%,532件
27,1850-1899,7173円,78分,112.2%,508件
28,1900-1949,7148円,77分,112.4%,536件
29,1950-1999,7352円,74分,113.2%,509件
30,2000-2049,7180円,70分,113.6%,482件
31,2050-2099,7756円,69分,115%,516件
32,2100-2149,7806円,65分,116.1%,506件
33,2150-2199,8181円,61分,117.9%,437件
34,2200-2249,7957円,55分,119.5%,442件
35,2250-2299,7758円,49分,121.2%,435件
36,2300-2349,8263円,43分,125.4%,428件
37,2350-2399,8686円,42分,127.7%,402件
38,2400-2449,8455円,41分,127.5%,404件
39,2450-2499,8563円,39分,128.9%,406件
40,2500-2549,9140円,38分,132.2%,419件
41,2550-2599,9716円,36分,136%,372件
42,2600-2649,9882円,35分,137.4%,374件
43,2650-2699,10267円,34分,139.9%,366件
44,2700-2749,10592円,33分,143%,334件
45,2750-2799,11715円,30分,152.2%,363件
46,2800-2849,11829円,28分,156.7%,331件
47,2850-2899,12190円,25分,165.4%,307件
48,2900-2949,13132円,22分,177.8%,285件
