,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,1200-1249,8835円,120分,109.8%,136件
1,1250-1299,9291円,117分,110.6%,145件
2,1300-1349,7467円,114分,108.7%,154件
3,1350-1399,6664円,111分,108%,178件
4,1400-1449,8689円,107分,110.9%,171件
5,1450-1499,8902円,109分,110.9%,174件
6,1500-1549,8624円,101分,111.4%,172件
7,1550-1599,9469円,93分,113.5%,179件
8,1600-1649,9394円,94分,113.3%,157件
9,1650-1699,9380円,96分,113%,163件
10,1700-1749,9153円,89分,113.7%,142件
11,1750-1799,8134円,86分,112.6%,146件
12,1800-1849,8810円,86分,113.6%,135件
13,1850-1899,8649円,78分,114.8%,127件
14,1900-1949,8541円,77分,114.7%,117件
15,1950-1999,8850円,74分,115.9%,129件
16,2000-2049,9417円,71分,117.7%,120件
17,2050-2099,9622円,67分,119.3%,98件
18,2100-2149,10652円,68分,120.8%,109件
19,2150-2199,9390円,61分,120.6%,95件
20,2200-2249,11206円,54分,127.6%,82件
21,2250-2299,8374円,54分,120.8%,79件
22,2300-2349,9334円,47分,126.4%,71件
23,2350-2399,8397円,45分,124.8%,91件
24,2400-2449,10390円,40分,134.4%,96件
25,2450-2499,10701円,38分,137.7%,78件
26,2500-2549,10203円,43分,132%,66件
27,2550-2599,10768円,41分,135%,66件
28,2600-2649,12354円,36分,145.4%,69件
29,2650-2699,11714円,35分,144.5%,70件
30,2700-2749,12530円,34分,148.5%,61件
31,2750-2799,12543円,32分,152.4%,65件
32,2800-2849,13053円,29分,159.8%,56件
33,2850-2899,12914円,26分,166.6%,52件
34,2900-2949,15395円,24分,183.9%,64件
