,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,500-549,2929円,148分,102.6%,4060件
1,550-599,3451円,144分,103.2%,2139件
2,600-649,3496円,143分,103.3%,1441件
3,650-699,3362円,141分,103.2%,1204件
4,700-749,3291円,139分,103.1%,1017件
5,750-799,3787円,137分,103.7%,959件
6,800-849,3978円,133分,104%,942件
7,850-899,3651円,133分,103.7%,964件
8,900-949,4062円,129分,104.2%,868件
9,950-999,3731円,128分,103.9%,845件
10,1000-1049,4277円,126分,104.5%,917件
11,1050-1099,4926円,126分,105.2%,903件
12,1100-1149,4377円,121分,104.8%,795件
13,1150-1199,4428円,117分,105%,949件
14,1200-1249,4755円,115分,105.5%,919件
15,1250-1299,4943円,114分,105.8%,861件
16,1300-1349,5803円,110分,107%,869件
17,1350-1399,6064円,109分,107.4%,826件
18,1400-1449,5500円,107分,106.9%,866件
19,1450-1499,5670円,103分,107.3%,790件
20,1500-1549,5454円,98分,107.4%,726件
21,1550-1599,6322円,99分,108.5%,706件
22,1600-1649,5400円,94分,107.6%,715件
23,1650-1699,6144円,92分,108.9%,699件
24,1700-1749,6068円,89分,109.1%,712件
25,1750-1799,6548円,86分,110.2%,645件
26,1800-1849,7020円,83分,111.3%,602件
27,1850-1899,7117円,81分,111.7%,633件
28,1900-1949,7267円,79分,112.3%,594件
29,1950-1999,7067円,75分,112.6%,590件
30,2000-2049,7327円,73分,113.4%,603件
31,2050-2099,7839円,69分,115.2%,605件
32,2100-2149,8148円,65分,116.7%,529件
33,2150-2199,7983円,60分,117.9%,561件
34,2200-2249,7481円,54分,118.5%,523件
35,2250-2299,7953円,48分,121.9%,510件
36,2300-2349,8344円,46分,124%,493件
37,2350-2399,8154円,44分,124.6%,477件
38,2400-2449,8237円,42分,126.1%,475件
39,2450-2499,8491円,41分,127.3%,483件
40,2500-2549,9239円,39分,131.8%,447件
41,2550-2599,9491円,38分,133.2%,447件
42,2600-2649,9598円,38分,134%,436件
43,2650-2699,10054円,36分,136.9%,401件
44,2700-2749,11053円,33分,144.4%,418件
45,2750-2799,11253円,31分,148.2%,395件
46,2800-2849,11711円,28分,155.7%,382件
47,2850-2899,12640円,26分,164.6%,357件
48,2900-2949,12544円,27分,162.8%,319件
