,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,750-799,4151円,142分,103.9%,66件
1,800-849,6121円,131分,106.2%,72件
2,850-899,5672円,122分,106.2%,88件
3,900-949,3644円,128分,103.8%,123件
4,950-999,5011円,129分,105.2%,123件
5,1000-1049,4881円,125分,105.2%,125件
6,1050-1099,4456円,125分,104.7%,149件
7,1100-1149,3684円,126分,103.9%,154件
8,1150-1199,5740円,123分,106.2%,164件
9,1200-1249,6729円,116分,107.8%,171件
10,1250-1299,4704円,116分,105.4%,176件
11,1300-1349,4409円,112分,105.2%,223件
12,1350-1399,6296円,108分,107.8%,200件
13,1400-1449,6361円,111分,107.6%,206件
14,1450-1499,6450円,102分,108.4%,197件
15,1500-1549,7002円,95分,109.8%,208件
16,1550-1599,6951円,96分,109.6%,188件
17,1600-1649,6970円,98分,109.5%,190件
18,1650-1699,6741円,91分,109.9%,166件
19,1700-1749,6068円,88分,109.2%,158件
20,1750-1799,6747円,89分,110.1%,166件
21,1800-1849,6656円,81分,111%,152件
22,1850-1899,7049円,80分,111.7%,146件
23,1900-1949,7142円,76分,112.5%,160件
24,1950-1999,6936円,74分,112.4%,144件
25,2000-2049,7906円,70分,115.2%,123件
26,2050-2099,8650円,70分,116.4%,137件
27,2100-2149,7587円,64分,115.8%,119件
28,2150-2199,9532円,57分,122.3%,102件
29,2200-2249,7056円,57分,116.5%,94件
30,2250-2299,7832円,51分,120.6%,80件
31,2300-2349,7021円,47分,119.9%,109件
32,2350-2399,8989円,42分,128.5%,119件
33,2400-2449,9271円,39分,131.4%,91件
34,2450-2499,9362円,42分,129.7%,85件
35,2500-2549,9181円,42分,128.9%,77件
36,2550-2599,10640円,38分,137.6%,86件
37,2600-2649,9940円,38分,135.3%,80件
38,2650-2699,10912円,36分,140.3%,72件
39,2700-2749,10937円,35分,142.2%,75件
40,2750-2799,11602円,32分,149%,71件
41,2800-2849,11663円,29分,154.4%,67件
42,2850-2899,13557円,27分,168%,86件
43,2900-2949,14202円,22分,186.9%,63件
