,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,500-549,-1931円,154分,98.3%,45件
1,550-599,-948円,146分,99.1%,74件
2,600-649,71円,143分,100.1%,101件
3,650-699,-857円,139分,99.2%,132件
4,700-749,231円,137分,100.2%,129件
5,750-799,298円,134分,100.3%,140件
6,800-849,142円,135分,100.1%,161件
7,850-899,-483円,135分,99.5%,196件
8,900-949,209円,130分,100.2%,189件
9,950-999,617円,129分,100.6%,193件
10,1000-1049,1769円,123分,101.9%,260件
11,1050-1099,1301円,122分,101.4%,229件
12,1100-1149,1495円,121分,101.6%,283件
13,1150-1199,1530円,121分,101.7%,267件
14,1200-1249,1728円,115分,102%,305件
15,1250-1299,879円,114分,101%,323件
16,1300-1349,1675円,113分,102%,312件
17,1350-1399,2111円,108分,102.6%,265件
18,1400-1449,1511円,110分,101.8%,278件
19,1450-1499,2322円,102分,103%,293件
20,1500-1549,1878円,102分,102.5%,286件
21,1550-1599,3160円,96分,104.4%,285件
22,1600-1649,2322円,93分,103.3%,275件
23,1650-1699,4085円,90分,106.1%,276件
24,1700-1749,4270円,89分,106.4%,296件
25,1750-1799,3658円,85分,105.8%,246件
26,1800-1849,3759円,82分,106.1%,252件
27,1850-1899,4182円,78分,107.2%,230件
28,1900-1949,4340円,74分,107.9%,230件
29,1950-1999,5368円,72分,110%,208件
30,2000-2049,5007円,70分,109.6%,201件
31,2050-2099,5146円,64分,110.8%,187件
32,2100-2149,5335円,63分,111.3%,185件
33,2150-2199,5842円,59分,113.3%,185件
34,2200-2249,4863円,58分,111.2%,175件
35,2250-2299,3399円,58分,107.8%,160件
36,2300-2349,5738円,49分,115.7%,155件
37,2350-2399,5660円,47分,116%,152件
38,2400-2449,6117円,45分,118.3%,152件
39,2450-2499,6508円,44分,119.7%,153件
40,2500-2549,6707円,42分,121.3%,127件
41,2550-2599,6944円,40分,123.3%,147件
42,2600-2649,7406円,40分,124.6%,121件
43,2650-2699,8741円,35分,133.1%,127件
44,2700-2749,9554円,34分,137.7%,100件
45,2750-2799,10055円,32分,142.4%,119件
46,2800-2849,10614円,31分,145.8%,104件
47,2850-2899,12042円,26分,162.9%,100件
48,2900-2949,13472円,22分,181.3%,91件
