,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,1500-1549,6065円,103分,107.9%,433件
1,1550-1599,6771円,101分,108.9%,411件
2,1600-1649,7109円,99分,109.6%,446件
3,1650-1699,6565円,94分,109.3%,384件
4,1700-1749,6284円,92分,109.1%,383件
5,1750-1799,6849円,87分,110.5%,335件
6,1800-1849,7008円,82分,111.4%,339件
7,1850-1899,7779円,82分,112.7%,320件
8,1900-1949,7765円,79分,113.2%,316件
9,1950-1999,7187円,74分,113%,283件
10,2000-2049,7980円,72分,114.8%,276件
11,2050-2099,8000円,69分,115.6%,276件
12,2100-2149,6950円,66分,114%,265件
13,2150-2199,6448円,65分,113.2%,263件
14,2200-2249,7588円,58分,117.5%,226件
15,2250-2299,7514円,56分,118%,226件
16,2300-2349,7575円,52分,119.4%,224件
17,2350-2399,7698円,49分,121%,229件
18,2400-2449,8472円,44分,125.4%,204件
19,2450-2499,7586円,46分,122.1%,216件
20,2500-2549,8315円,44分,125%,174件
21,2550-2599,9803円,40分,132.4%,199件
22,2600-2649,10169円,40分,133.5%,160件
23,2650-2699,10821円,37分,138.7%,201件
24,2700-2749,10989円,37分,139.5%,157件
25,2750-2799,12196円,33分,148.6%,146件
26,2800-2849,13235円,29分,160%,144件
27,2850-2899,13730円,27分,166.6%,156件
28,2900-2949,15322円,25分,183.4%,130件
