,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,1200-1249,6569円,117分,107.5%,919件
1,1250-1299,6738円,115分,107.8%,861件
2,1300-1349,7589円,112分,109%,869件
3,1350-1399,7856円,111分,109.4%,826件
4,1400-1449,7219円,108分,108.9%,866件
5,1450-1499,7337円,105分,109.4%,790件
6,1500-1549,7025円,99分,109.4%,726件
7,1550-1599,7946円,100分,110.6%,706件
8,1600-1649,6912円,96分,109.6%,715件
9,1650-1699,7661円,94分,110.9%,699件
10,1700-1749,7514円,90分,111.1%,712件
11,1750-1799,7968円,87分,112.2%,645件
12,1800-1849,8433円,84分,113.4%,602件
13,1850-1899,8491円,82分,113.8%,633件
14,1900-1949,8616円,80分,114.3%,594件
15,1950-1999,8340円,76分,114.7%,590件
16,2000-2049,8584円,74分,115.5%,603件
17,2050-2099,9051円,70分,117.2%,605件
18,2100-2149,9314円,66分,118.8%,529件
19,2150-2199,9052円,60分,120%,561件
20,2200-2249,8427円,55分,120.5%,523件
21,2250-2299,8845円,49分,123.9%,510件
22,2300-2349,9190円,47分,126%,493件
23,2350-2399,8963円,45分,126.6%,477件
24,2400-2449,9030円,43分,128.1%,475件
25,2450-2499,9282円,42分,129.4%,483件
26,2500-2549,10030円,39分,134%,447件
27,2550-2599,10282円,39分,135.3%,447件
28,2600-2649,10390円,38分,136.1%,436件
29,2650-2699,10846円,37分,139%,401件
30,2700-2749,11844円,34分,146.6%,418件
31,2750-2799,12044円,32分,150.4%,395件
32,2800-2849,12503円,29分,158%,382件
33,2850-2899,13432円,27分,166.8%,357件
34,2900-2949,13336円,27分,165%,319件
