,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,200-249,-2573円,158分,97.8%,396件
1,250-299,-1126円,156分,99%,664件
2,300-349,-1728円,155分,98.5%,1020件
3,350-399,-1667円,153分,98.5%,1197件
4,400-449,-1006円,149分,99.1%,1309件
5,450-499,-869円,149分,99.2%,1342件
6,500-549,-525円,144分,99.5%,1402件
7,550-599,-537円,145分,99.5%,1429件
8,600-649,-733円,143分,99.3%,1418件
9,650-699,-337円,142分,99.7%,1450件
10,700-749,-160円,138分,99.8%,1456件
11,750-799,500円,136分,100.5%,1363件
12,800-849,-270円,136分,99.7%,1633件
13,850-899,336円,131分,100.3%,1597件
14,900-949,219円,130分,100.2%,1616件
15,950-999,870円,127分,100.9%,1472件
16,1000-1049,939円,124分,101%,1455件
17,1050-1099,1006円,124分,101.1%,1274件
18,1100-1149,1090円,120分,101.2%,1241件
19,1150-1199,1162円,121分,101.3%,1110件
20,1200-1249,1100円,115分,101.3%,1065件
21,1250-1299,1667円,114分,102%,1073件
22,1300-1349,1899円,111分,102.3%,992件
23,1350-1399,1695円,109分,102.1%,938件
24,1400-1449,2353円,105分,103%,990件
25,1450-1499,2933円,101分,103.9%,995件
26,1500-1549,2413円,100分,103.2%,900件
27,1550-1599,3114円,98分,104.2%,760件
28,1600-1649,2864円,95分,104%,778件
29,1650-1699,3224円,93分,104.6%,786件
30,1700-1749,2836円,89分,104.2%,739件
31,1750-1799,3371円,86分,105.2%,768件
32,1800-1849,3687円,83分,105.9%,700件
33,1850-1899,4171円,79分,107%,680件
34,1900-1949,3972円,74分,107.1%,677件
35,1950-1999,4068円,73分,107.4%,619件
36,2000-2049,4248円,69分,108.2%,634件
37,2050-2099,4091円,69分,108%,594件
38,2100-2149,4828円,64分,110.1%,586件
39,2150-2199,5449円,59分,112.2%,573件
40,2200-2249,5225円,58分,112%,578件
41,2250-2299,5267円,54分,113%,501件
42,2300-2349,5780円,51分,115.1%,514件
43,2350-2399,5485円,48分,115.2%,463件
44,2400-2449,6039円,46分,117.7%,474件
45,2450-2499,6475円,44分,119.7%,460件
46,2500-2549,6881円,43分,121.5%,437件
47,2550-2599,7536円,41分,124.6%,469件
48,2600-2649,8450円,38分,129.9%,437件
49,2650-2699,8666円,36分,132.3%,471件
50,2700-2749,9621円,34分,137.6%,400件
51,2750-2799,10091円,32分,142.1%,381件
52,2800-2849,11113円,29分,151.6%,355件
53,2850-2899,11879円,26分,161.8%,327件
54,2900-2949,13025円,23分,176.5%,252件
