,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,1150-1199,8397円,121分,109.3%,632件
1,1200-1249,7548円,117分,108.6%,572件
2,1250-1299,7718円,113分,109.1%,677件
3,1300-1349,7681円,110分,109.3%,614件
4,1350-1399,8338円,107分,110.4%,621件
5,1400-1449,9484円,104分,112.2%,613件
6,1450-1499,9328円,104分,112%,584件
7,1500-1549,9139円,103分,111.9%,595件
8,1550-1599,8787円,97分,112.1%,577件
9,1600-1649,8322円,92分,112%,494件
10,1650-1699,9418円,92分,113.6%,497件
11,1700-1749,8428円,88分,112.7%,500件
12,1750-1799,9553円,86分,114.9%,488件
13,1800-1849,8887円,84分,114.2%,509件
14,1850-1899,9378円,81分,115.5%,442件
15,1900-1949,9966円,77分,117.2%,426件
16,1950-1999,9989円,75分,117.7%,448件
17,2000-2049,10031円,73分,118.4%,421件
18,2050-2099,9660円,68分,118.9%,408件
19,2100-2149,10565円,66分,121.3%,440件
20,2150-2199,10492円,63分,122.3%,407件
21,2200-2249,10666円,59分,124.1%,373件
22,2250-2299,10460円,51分,127.2%,367件
23,2300-2349,10207円,45分,130.3%,369件
24,2350-2399,10243円,40分,133.8%,357件
25,2400-2449,10844円,40分,136.5%,327件
26,2450-2499,10707円,39分,137%,352件
27,2500-2549,10624円,38分,137.4%,344件
28,2550-2599,11346円,36分,141.9%,348件
29,2600-2649,12049円,34分,147%,306件
30,2650-2699,12143円,34分,148.1%,302件
31,2700-2749,12453円,32分,151.9%,311件
32,2750-2799,12977円,31分,156.3%,285件
33,2800-2849,14030円,28分,167.7%,305件
34,2850-2899,14083円,26分,173.5%,279件
35,2900-2949,14253円,23分,183.6%,227件
