,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,600-649,593円,140分,100.6%,75件
1,650-699,1817円,140分,101.7%,124件
2,700-749,1993円,137分,101.9%,252件
3,750-799,1919円,134分,101.9%,306件
4,800-849,3577円,127分,103.8%,315件
5,850-899,2573円,128分,102.7%,297件
6,900-949,3139円,125分,103.4%,340件
7,950-999,3067円,126分,103.3%,325件
8,1000-1049,2753円,127分,102.9%,331件
9,1050-1099,3908円,117分,104.4%,344件
10,1100-1149,3474円,119分,103.9%,322件
11,1150-1199,4166円,113分,104.9%,293件
12,1200-1249,3449円,116分,103.9%,362件
13,1250-1299,4016円,109分,104.9%,350件
14,1300-1349,4365円,109分,105.4%,394件
15,1350-1399,4543円,107分,105.6%,296件
16,1400-1449,4263円,102分,105.6%,328件
17,1450-1499,5295円,103分,106.8%,262件
18,1500-1549,4757円,98分,106.5%,279件
19,1550-1599,5270円,97分,107.2%,249件
20,1600-1649,4644円,89分,106.9%,232件
21,1650-1699,6026円,90分,109%,238件
22,1700-1749,5889円,87分,109%,199件
23,1750-1799,5991円,84分,109.5%,220件
24,1800-1849,7221円,80分,112.1%,234件
25,1850-1899,5994円,78分,110.3%,231件
26,1900-1949,6445円,77分,111.1%,217件
27,1950-1999,6486円,74分,111.6%,168件
28,2000-2049,6763円,69分,113%,182件
29,2050-2099,7768円,65分,115.9%,168件
30,2100-2149,8203円,63分,117.4%,180件
31,2150-2199,6914円,60分,115.5%,167件
32,2200-2249,8090円,55分,119.7%,169件
33,2250-2299,7898円,48分,121.9%,166件
34,2300-2349,7501円,44分,122.6%,164件
35,2350-2399,8642円,40分,128.7%,146件
36,2400-2449,9367円,38分,132.7%,145件
37,2450-2499,9237円,38分,132.3%,129件
38,2500-2549,8542円,39分,129.5%,126件
39,2550-2599,9547円,36分,135.7%,105件
40,2600-2649,10035円,36分,137.5%,120件
41,2650-2699,11136円,34分,143.9%,117件
42,2700-2749,10775円,34分,142.5%,113件
43,2750-2799,11365円,29分,152.2%,113件
44,2800-2849,11617円,29分,154.2%,111件
45,2850-2899,12592円,26分,164.1%,91件
46,2900-2949,13235円,22分,180.4%,74件
