,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,400-449,1293円,150分,101.2%,1644件
1,450-499,667円,151分,100.6%,2079件
2,500-549,927円,148分,100.8%,1887件
3,550-599,1350円,145分,101.2%,1736件
4,600-649,1646円,143分,101.5%,1525件
5,650-699,1326円,143分,101.2%,1344件
6,700-749,1452円,141分,101.4%,1288件
7,750-799,1944円,135分,101.9%,1239件
8,800-849,1512円,139分,101.5%,1097件
9,850-899,2261円,135分,102.2%,1078件
10,900-949,2725円,130分,102.8%,951件
11,950-999,3075円,128分,103.2%,929件
12,1000-1049,2275円,126分,102.4%,1661件
13,1050-1099,2119円,125分,102.3%,945件
14,1100-1149,2993円,120分,103.3%,1007件
15,1150-1199,2726円,120分,103%,846件
16,1200-1249,3220円,117分,103.7%,781件
17,1250-1299,3022円,114分,103.5%,747件
18,1300-1349,3608円,112分,104.3%,771件
19,1350-1399,3268円,110分,104%,670件
20,1400-1449,3915円,106分,104.9%,673件
21,1450-1499,4644円,103分,106%,620件
22,1500-1549,3890円,102分,105.1%,628件
23,1550-1599,4346円,98分,105.9%,670件
24,1600-1649,4313円,94分,106.1%,609件
25,1650-1699,4409円,93分,106.4%,614件
26,1700-1749,5097円,89分,107.7%,588件
27,1750-1799,5579円,87分,108.6%,564件
28,1800-1849,5012円,86分,107.8%,504件
29,1850-1899,5608円,80分,109.3%,551件
30,1900-1949,6289円,80分,110.5%,515件
31,1950-1999,5620円,73分,110.2%,505件
32,2000-2049,5807円,71分,110.9%,457件
33,2050-2099,5815円,66分,111.7%,463件
34,2100-2149,6584円,62分,114.2%,470件
35,2150-2199,6832円,59分,115.6%,460件
36,2200-2249,5906円,55分,114.4%,465件
37,2250-2299,6690円,52分,117%,439件
38,2300-2349,6801円,50分,118.1%,429件
39,2350-2399,7306円,46分,121.2%,444件
40,2400-2449,6956円,45分,120.7%,370件
41,2450-2499,7577円,43分,123.6%,429件
42,2500-2549,7975円,43分,124.9%,376件
43,2550-2599,8631円,40分,128.9%,379件
44,2600-2649,8939円,40分,130.1%,334件
45,2650-2699,8920円,37分,132.2%,367件
46,2700-2749,9745円,35分,137.2%,306件
47,2750-2799,10855円,32分,145.7%,325件
48,2800-2849,11557円,28分,154.2%,310件
49,2850-2899,12448円,27分,162.4%,278件
50,2900-2949,13600円,24分,176.7%,183件
