,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,1500-1549,10792円,98分,114.7%,34件
1,1550-1599,12954円,92分,118.9%,39件
2,1600-1649,13114円,94分,118.5%,47件
3,1650-1699,10485円,94分,114.9%,41件
4,1700-1749,11265円,90分,116.8%,50件
5,1750-1799,10702円,89分,116.1%,50件
6,1800-1849,12195円,84分,119.4%,54件
7,1850-1899,12793円,75分,122.7%,47件
8,1900-1949,10515円,82分,117.1%,46件
9,1950-1999,12207円,73分,122.2%,44件
10,2000-2049,10464円,74分,118.8%,48件
11,2050-2099,11087円,67分,122%,44件
12,2100-2149,10202円,65分,121%,42件
13,2150-2199,12481円,60分,127.9%,35件
14,2200-2249,13124円,59分,129.5%,50件
15,2250-2299,10745円,51分,128.1%,27件
16,2300-2349,11020円,48分,130.3%,44件
17,2350-2399,12791円,41分,141.2%,40件
18,2400-2449,13993円,33分,156.1%,36件
19,2450-2499,9813円,42分,130.8%,24件
20,2500-2549,13616円,32分,156%,31件
21,2550-2599,12931円,30分,157.7%,24件
22,2600-2649,13100円,34分,151.8%,26件
23,2650-2699,13108円,33分,153.4%,22件
24,2700-2749,14193円,31分,161.2%,33件
25,2750-2799,14787円,27分,173.3%,29件
26,2800-2849,14559円,30分,165.8%,24件
27,2850-2899,15221円,25分,181.7%,23件
28,2900-2949,15506円,23分,188.6%,25件
