,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,900-949,3029円,122分,103.3%,25件
1,950-999,3937円,128分,104.1%,28件
2,1000-1049,2046円,116分,102.4%,34件
3,1050-1099,3826円,123分,104.1%,38件
4,1100-1149,3332円,110分,104.1%,48件
5,1150-1199,5555円,111分,106.7%,39件
6,1200-1249,3972円,115分,104.6%,53件
7,1250-1299,2235円,105分,102.8%,50件
8,1300-1349,4051円,104分,105.2%,48件
9,1350-1399,5231円,101分,106.9%,65件
10,1400-1449,4344円,105分,105.5%,72件
11,1450-1499,5124円,100分,106.8%,74件
12,1500-1549,4745円,103分,106.1%,71件
13,1550-1599,4000円,96分,105.5%,83件
14,1600-1649,4154円,96分,105.7%,91件
15,1650-1699,5097円,88分,107.8%,84件
16,1700-1749,5764円,87分,108.9%,74件
17,1750-1799,4395円,90分,106.5%,82件
18,1800-1849,6001円,79分,110.1%,75件
19,1850-1899,5616円,82分,109.1%,82件
20,1900-1949,6925円,75分,112.3%,85件
21,1950-1999,5161円,73分,109.5%,75件
22,2000-2049,6766円,66分,113.7%,67件
23,2050-2099,7927円,68分,115.6%,83件
24,2100-2149,6787円,62分,114.7%,61件
25,2150-2199,4741円,60分,110.5%,62件
26,2200-2249,6930円,52分,117.7%,59件
27,2250-2299,9065円,45分,126.7%,67件
28,2300-2349,6725円,46分,119.6%,43件
29,2350-2399,8343円,41分,127.3%,48件
30,2400-2449,8442円,36分,131%,41件
31,2450-2499,7789円,41分,125%,38件
32,2500-2549,8391円,37分,130.3%,50件
33,2550-2599,9518円,36分,135.4%,53件
34,2600-2649,9614円,35分,136.8%,51件
35,2650-2699,9245円,37分,133.2%,39件
36,2700-2749,9821円,33分,139.3%,40件
37,2750-2799,10436円,31分,145%,45件
38,2800-2849,10845円,28分,152.5%,41件
39,2850-2899,12014円,25分,164%,28件
40,2900-2949,12053円,20分,179.5%,36件
