,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,100-149,-2440円,162分,98%,592件
1,150-199,-1330円,160分,98.9%,1059件
2,200-249,-2146円,159分,98.2%,1493件
3,250-299,-1777円,156分,98.5%,1761件
4,300-349,-1256円,154分,98.9%,1978件
5,350-399,-977円,151分,99.1%,2042件
6,400-449,-799円,149分,99.3%,2078件
7,450-499,-728円,149分,99.3%,2172件
8,500-549,-516円,146分,99.5%,2171件
9,550-599,-638円,145分,99.4%,2160件
10,600-649,-500円,142分,99.5%,2136件
11,650-699,466円,139分,100.4%,2149件
12,700-749,-445円,139分,99.6%,2480件
13,750-799,130円,135分,100.1%,2425件
14,800-849,-75円,134分,99.9%,2420件
15,850-899,625円,131分,100.6%,2269件
16,900-949,477円,130分,100.5%,2168件
17,950-999,733円,128分,100.8%,1910件
18,1000-1049,840円,126分,100.9%,1854件
19,1050-1099,1064円,125分,101.1%,1723件
20,1100-1149,868円,119分,101%,1605件
21,1150-1199,1499円,118分,101.7%,1615件
22,1200-1249,1661円,116分,101.9%,1513件
23,1250-1299,1715円,115分,102%,1436件
24,1300-1349,1743円,111分,102.1%,1493件
25,1350-1399,2444円,107分,103%,1463件
26,1400-1449,1797円,104分,102.3%,1346件
27,1450-1499,2659円,103分,103.4%,1168件
28,1500-1549,2723円,101分,103.6%,1192件
29,1550-1599,2871円,99分,103.9%,1206件
30,1600-1649,2801円,94分,104%,1112件
31,1650-1699,3287円,91分,104.8%,1160件
32,1700-1749,3464円,88分,105.3%,1045件
33,1750-1799,4115円,85分,106.4%,1053件
34,1800-1849,3573円,81分,105.9%,1044件
35,1850-1899,3876円,79分,106.5%,949件
36,1900-1949,3946円,76分,107%,984件
37,1950-1999,3985円,75分,107.1%,939件
38,2000-2049,4502円,70分,108.5%,909件
39,2050-2099,5078円,67分,110.1%,850件
40,2100-2149,4946円,64分,110.3%,886件
41,2150-2199,5328円,61分,111.6%,791件
42,2200-2249,4990円,58分,111.5%,773件
43,2250-2299,5349円,54分,113.1%,717件
44,2300-2349,5870円,50分,115.7%,733件
45,2350-2399,5758円,47分,116.3%,717件
46,2400-2449,6102円,46分,117.8%,676件
47,2450-2499,6986円,43分,121.5%,734件
48,2500-2549,7472円,41分,124%,688件
49,2550-2599,7386円,40分,124.4%,676件
50,2600-2649,8267円,38分,128.8%,600件
51,2650-2699,8726円,37分,131.9%,592件
52,2700-2749,9508円,34分,137.4%,530件
53,2750-2799,10136円,32分,142.2%,482件
54,2800-2849,11152円,29分,151.7%,420件
55,2850-2899,11864円,25分,162.2%,364件
56,2900-2949,12800円,23分,174.9%,278件
