,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,800-849,4178円,136分,104.1%,1143件
1,850-899,4471円,133分,104.5%,1021件
2,900-949,4053円,131分,104.1%,1009件
3,950-999,4535円,129分,104.7%,1077件
4,1000-1049,4916円,129分,105.1%,1071件
5,1050-1099,4777円,125分,105.1%,963件
6,1100-1149,4850円,120分,105.4%,1149件
7,1150-1199,5161円,119分,105.8%,1095件
8,1200-1249,5158円,117分,105.9%,1041件
9,1250-1299,6061円,114分,107.1%,1057件
10,1300-1349,6288円,113分,107.4%,997件
11,1350-1399,5685円,111分,106.9%,1014件
12,1400-1449,5664円,107分,107.1%,924件
13,1450-1499,5795円,102分,107.5%,889件
14,1500-1549,6494円,102分,108.5%,858件
15,1550-1599,5552円,98分,107.5%,860件
16,1600-1649,6441円,96分,108.9%,833件
17,1650-1699,6179円,93分,108.9%,836件
18,1700-1749,6396円,89分,109.5%,778件
19,1750-1799,7040円,87分,110.8%,736件
20,1800-1849,7295円,85分,111.4%,772件
21,1850-1899,7076円,81分,111.6%,707件
22,1900-1949,7024円,79分,111.9%,714件
23,1950-1999,7288円,76分,112.7%,711件
24,2000-2049,7585円,73分,113.8%,724件
25,2050-2099,7974円,69分,115.3%,649件
26,2100-2149,7678円,64分,116%,664件
27,2150-2199,7380円,59分,116.6%,633件
28,2200-2249,7656円,53分,119.1%,609件
29,2250-2299,8017円,51分,121%,595件
30,2300-2349,7932円,48分,122%,573件
31,2350-2399,8076円,45分,123.8%,573件
32,2400-2449,8211円,44分,124.9%,578件
33,2450-2499,8880円,41分,128.5%,545件
34,2500-2549,8910円,41分,129.1%,521件
35,2550-2599,9099円,40分,130.1%,513件
36,2600-2649,9587円,39分,132.6%,464件
37,2650-2699,10458円,36分,138.5%,499件
38,2700-2749,10735円,34分,141.6%,462件
39,2750-2799,11286円,31分,148%,474件
40,2800-2849,12164円,30分,154.9%,432件
41,2850-2899,11855円,30分,152.6%,381件
