,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,450-499,-1878円,151分,98.3%,56件
1,500-549,-1302円,148分,98.8%,87件
2,550-599,-919円,145分,99.2%,112件
3,600-649,-1404円,141分,98.7%,151件
4,650-699,-91円,139分,99.9%,157件
5,700-749,-228円,138分,99.8%,171件
6,750-799,-274円,136分,99.7%,193件
7,800-849,-710円,136分,99.3%,235件
8,850-899,-132円,132分,99.9%,231件
9,900-949,211円,131分,100.2%,232件
10,950-999,1120円,126分,101.2%,306件
11,1000-1049,1330円,124分,101.4%,287件
12,1050-1099,540円,122分,100.6%,342件
13,1100-1149,1332円,122分,101.5%,332件
14,1150-1199,923円,118分,101%,341件
15,1200-1249,577円,116分,100.7%,389件
16,1250-1299,1353円,116分,101.6%,381件
17,1300-1349,1673円,111分,102%,323件
18,1350-1399,1083円,112分,101.3%,337件
19,1400-1449,1842円,105分,102.3%,351件
20,1450-1499,1324円,105分,101.7%,339件
21,1500-1549,2190円,99分,102.9%,341件
22,1550-1599,1696円,96分,102.3%,334件
23,1600-1649,3442円,93分,104.9%,333件
24,1650-1699,3622円,92分,105.3%,368件
25,1700-1749,2708円,88分,104.1%,295件
26,1750-1799,3022円,86分,104.7%,300件
27,1800-1849,3810円,81分,106.3%,283件
28,1850-1899,3986円,77分,106.9%,280件
29,1900-1949,4605円,75分,108.2%,255件
30,1950-1999,4554円,73分,108.3%,248件
31,2000-2049,4509円,68分,108.9%,229件
32,2050-2099,5214円,67分,110.4%,227件
33,2100-2149,5572円,62分,112%,224件
34,2150-2199,4647円,61分,110.1%,221件
35,2200-2249,3430円,60分,107.6%,199件
36,2250-2299,5342円,52分,113.8%,184件
37,2300-2349,5344円,51分,114.1%,181件
38,2350-2399,5664円,47分,116%,188件
39,2400-2449,5713円,46分,116.5%,185件
40,2450-2499,6303円,43分,119.6%,158件
41,2500-2549,6072円,43分,119%,172件
42,2550-2599,6754円,42分,121.4%,140件
43,2600-2649,8280円,37分,129.7%,158件
44,2650-2699,8881円,37分,132.2%,125件
45,2700-2749,9433円,33分,138.2%,155件
46,2750-2799,9696円,34分,138.6%,123件
47,2800-2849,10947円,29分,150.9%,116件
48,2850-2899,12124円,25分,164.4%,113件
49,2900-2949,12889円,23分,174.9%,116件
