,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,550-599,589円,148分,100.5%,409件
1,600-649,2336円,144分,102.2%,440件
2,650-699,1959円,144分,101.8%,478件
3,700-749,2004円,142分,101.9%,539件
4,750-799,1742円,139分,101.7%,572件
5,800-849,2528円,136分,102.5%,565件
6,850-899,2529円,134分,102.5%,634件
7,900-949,1906円,135分,101.9%,642件
8,950-999,2389円,132分,102.4%,735件
9,1000-1049,2865円,126分,103%,743件
10,1050-1099,2852円,129分,102.9%,725件
11,1100-1149,2802円,122分,103.1%,722件
12,1150-1199,3216円,118分,103.6%,677件
13,1200-1249,3438円,118分,103.9%,645件
14,1250-1299,3382円,116分,103.9%,676件
15,1300-1349,4047円,111分,104.9%,623件
16,1350-1399,3518円,109分,104.3%,589件
17,1400-1449,3363円,108分,104.1%,583件
18,1450-1499,3978円,105分,105%,598件
19,1500-1549,4384円,101分,105.8%,542件
20,1550-1599,4518円,98分,106.1%,573件
21,1600-1649,4419円,97分,106.1%,544件
22,1650-1699,4212円,92分,106.1%,473件
23,1700-1749,5007円,91分,107.4%,444件
24,1750-1799,5208円,87分,107.9%,459件
25,1800-1849,5819円,83分,109.3%,393件
26,1850-1899,4667円,82分,107.6%,367件
27,1900-1949,6274円,77分,110.8%,357件
28,1950-1999,5331円,74分,109.6%,363件
29,2000-2049,5563円,71分,110.4%,367件
30,2050-2099,6007円,66分,112.1%,353件
31,2100-2149,5946円,65分,112.2%,329件
32,2150-2199,5588円,61分,112.1%,321件
33,2200-2249,6341円,57分,114.8%,300件
34,2250-2299,5695円,56分,113.6%,298件
35,2300-2349,6448円,52分,116.7%,246件
36,2350-2399,6448円,48分,117.8%,286件
37,2400-2449,7303円,45分,121.6%,266件
38,2450-2499,7540円,43分,123.2%,263件
39,2500-2549,7806円,43分,124.1%,309件
40,2550-2599,7836円,42分,124.8%,252件
41,2600-2649,8764円,39分,129.8%,228件
42,2650-2699,9654円,37分,134.7%,230件
43,2700-2749,10217円,35分,138.6%,221件
44,2750-2799,10921円,33分,144.7%,211件
45,2800-2849,11803円,29分,153.8%,187件
46,2850-2899,13247円,27分,166.2%,191件
47,2900-2949,14031円,23分,180.5%,168件
