,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,350-399,-785円,150分,99.3%,180件
1,400-449,-1953円,150分,98.3%,225件
2,450-499,-1698円,153分,98.5%,276件
3,500-549,-973円,142分,99.1%,355件
4,550-599,-2087円,145分,98.1%,409件
5,600-649,-373円,141分,99.6%,440件
6,650-699,-717円,141分,99.3%,478件
7,700-749,-660円,140分,99.4%,539件
8,750-799,-841円,137分,99.2%,572件
9,800-849,-47円,134分,100%,565件
10,850-899,1円,132分,100%,634件
11,900-949,-603円,133分,99.4%,642件
12,950-999,-91円,130分,99.9%,735件
13,1000-1049,479円,124分,100.5%,743件
14,1050-1099,397円,127分,100.4%,725件
15,1100-1149,486円,120分,100.5%,722件
16,1150-1199,943円,116分,101.1%,677件
17,1200-1249,1161円,116分,101.3%,645件
18,1250-1299,1155円,114分,101.3%,676件
19,1300-1349,1885円,109分,102.3%,623件
20,1350-1399,1438円,107分,101.8%,589件
21,1400-1449,1299円,107分,101.6%,583件
22,1450-1499,1945円,103分,102.5%,598件
23,1500-1549,2406円,99分,103.2%,542件
24,1550-1599,2581円,96分,103.6%,573件
25,1600-1649,2517円,96分,103.5%,544件
26,1650-1699,2436円,90分,103.6%,473件
27,1700-1749,3191円,89分,104.8%,444件
28,1750-1799,3459円,86分,105.4%,459件
29,1800-1849,4120円,82分,106.7%,393件
30,1850-1899,3060円,80分,105.1%,367件
31,1900-1949,4663円,76分,108.2%,357件
32,1950-1999,3839円,73分,107%,363件
33,2000-2049,4137円,70分,107.9%,367件
34,2050-2099,4632円,65分,109.5%,353件
35,2100-2149,4632円,64分,109.7%,329件
36,2150-2199,4354円,60分,109.6%,321件
37,2200-2249,5157円,56分,112.3%,300件
38,2250-2299,4589円,55分,111.2%,298件
39,2300-2349,5386円,51分,114.2%,246件
40,2350-2399,5430円,47分,115.3%,286件
41,2400-2449,6299円,44分,119%,266件
42,2450-2499,6540円,43分,120.5%,263件
43,2500-2549,6881円,42分,121.6%,309件
44,2550-2599,6910円,41分,122.3%,252件
45,2600-2649,7839円,38分,127.2%,228件
46,2650-2699,8729円,36分,132.1%,230件
47,2700-2749,9291円,34分,136%,221件
48,2750-2799,9996円,32分,142%,211件
49,2800-2849,10878円,28分,151.1%,187件
50,2850-2899,12322円,26分,163.5%,191件
51,2900-2949,13106円,22分,177.9%,168件
