,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,450-499,-1024円,144分,99%,116件
1,500-549,-1571円,148分,98.6%,149件
2,550-599,-783円,146分,99.3%,193件
3,600-649,-601円,139分,99.4%,232件
4,650-699,-2135円,141分,98%,277件
5,700-749,404円,137分,100.4%,305件
6,750-799,-232円,136分,99.8%,329件
7,800-849,-123円,134分,99.9%,374件
8,850-899,-257円,134分,99.7%,410件
9,900-949,530円,129分,100.5%,403件
10,950-999,698円,127分,100.7%,439件
11,1000-1049,-71円,127分,99.9%,464件
12,1050-1099,42円,124分,100%,508件
13,1100-1149,1161円,118分,101.3%,503件
14,1150-1199,1149円,122分,101.3%,501件
15,1200-1249,1265円,115分,101.5%,509件
16,1250-1299,1940円,110分,102.4%,490件
17,1300-1349,1798円,110分,102.2%,460件
18,1350-1399,1712円,109分,102.1%,470件
19,1400-1449,2434円,104分,103.1%,424件
20,1450-1499,1588円,102分,102.1%,391件
21,1500-1549,2460円,99分,103.3%,411件
22,1550-1599,2538円,98分,103.5%,418件
23,1600-1649,2925円,92分,104.2%,366件
24,1650-1699,2884円,89分,104.3%,385件
25,1700-1749,3221円,89分,104.8%,365件
26,1750-1799,3294円,84分,105.2%,322件
27,1800-1849,3793円,84分,106%,297件
28,1850-1899,3822円,79分,106.5%,319件
29,1900-1949,4452円,75分,107.9%,267件
30,1950-1999,3540円,73分,106.5%,255件
31,2000-2049,5259円,69分,110.1%,247件
32,2050-2099,4186円,66分,108.5%,259件
33,2100-2149,4293円,63分,109.1%,253件
34,2150-2199,5451円,57分,112.8%,242件
35,2200-2249,5413円,56分,112.9%,230件
36,2250-2299,4947円,53分,112.4%,224件
37,2300-2349,5574円,47分,115.7%,193件
38,2350-2399,5318円,49分,114.4%,206件
39,2400-2449,6021円,45分,117.7%,174件
40,2450-2499,6004円,46分,117.6%,187件
41,2500-2549,7252円,41分,123.5%,178件
42,2550-2599,7407円,40分,124.8%,173件
43,2600-2649,7843円,39分,126.6%,203件
44,2650-2699,8419円,37分,130.5%,185件
45,2700-2749,9036円,35分,134.8%,149件
46,2750-2799,10449円,31分,145.2%,159件
47,2800-2849,10815円,30分,148.6%,153件
48,2850-2899,11978円,26分,161.8%,150件
49,2900-2949,12808円,22分,177.4%,114件
