,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,350-399,-1269円,150分,98.9%,18671件
1,400-449,-1037円,150分,99.1%,5709件
2,450-499,-509円,147分,99.5%,3014件
3,500-549,-398円,145分,99.6%,2063件
4,550-599,-328円,144分,99.7%,1729件
5,600-649,-504円,142分,99.5%,1427件
6,650-699,-178円,141分,99.8%,1407件
7,700-749,65円,137分,100.1%,1327件
8,750-799,88円,136分,100.1%,1374件
9,800-849,467円,132分,100.5%,1227件
10,850-899,196円,130分,100.2%,1245件
11,900-949,643円,128分,100.7%,1288件
12,950-999,839円,129分,100.9%,1274件
13,1000-1049,813円,125分,100.9%,1144件
14,1050-1099,1299円,119分,101.5%,1355件
15,1100-1149,1442円,118分,101.6%,1351件
16,1150-1199,1725円,116分,102%,1294件
17,1200-1249,2283円,114分,102.7%,1247件
18,1250-1299,2601円,113分,103.1%,1223件
19,1300-1349,2079円,111分,102.5%,1209件
20,1350-1399,2244円,107分,102.8%,1112件
21,1400-1449,2504円,104分,103.2%,1061件
22,1450-1499,2964円,102分,103.9%,998件
23,1500-1549,2442円,99分,103.3%,1018件
24,1550-1599,3204円,97分,104.4%,1023件
25,1600-1649,3064円,94分,104.4%,1003件
26,1650-1699,3449円,90分,105.1%,943件
27,1700-1749,3564円,88分,105.4%,864件
28,1750-1799,3903円,87分,106%,913件
29,1800-1849,4317円,82分,107%,863件
30,1850-1899,4103円,79分,106.9%,847件
31,1900-1949,4635円,77分,108%,867件
32,1950-1999,4685円,75分,108.4%,846件
33,2000-2049,5304円,71分,110%,772件
34,2050-2099,5311円,66分,110.7%,802件
35,2100-2149,5156円,62分,111.1%,787件
36,2150-2199,5193円,57分,112.2%,723件
37,2200-2249,5868円,54分,114.5%,719件
38,2250-2299,6030円,51分,115.8%,712件
39,2300-2349,5941円,48分,116.7%,678件
40,2350-2399,6135円,45分,118%,694件
41,2400-2449,6764円,43分,121.1%,652件
42,2450-2499,6906円,41分,122.2%,636件
43,2500-2549,7167円,41分,123.2%,613件
44,2550-2599,7814円,40分,126.1%,567件
45,2600-2649,8535円,37分,130.8%,609件
46,2650-2699,8670円,36分,132.2%,555件
47,2700-2749,9132円,33分,136.8%,575件
48,2750-2799,9975円,31分,142.4%,522件
49,2800-2849,9659円,32分,140.4%,461件
