,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,200-249,-2102円,158分,98.2%,31952件
1,250-299,-1875円,157分,98.4%,9645件
2,300-349,-1450円,156分,98.8%,5182件
3,350-399,-1450円,153分,98.7%,3489件
4,400-449,-1002円,150分,99.1%,2932件
5,450-499,-1138円,150分,99%,2450件
6,500-549,-781円,149分,99.3%,2392件
7,550-599,-625円,144分,99.4%,2284件
8,600-649,-671円,145分,99.4%,2246件
9,650-699,-360円,140分,99.7%,2187件
10,700-749,-405円,139分,99.6%,2193件
11,750-799,-420円,136分,99.6%,2145件
12,800-849,189円,135分,100.2%,2220件
13,850-899,91円,133分,100.1%,2035件
14,900-949,255円,129分,100.3%,2257件
15,950-999,687円,127分,100.7%,2348件
16,1000-1049,1023円,125分,101.1%,2191件
17,1050-1099,1142円,122分,101.2%,2145件
18,1100-1149,1124円,121分,101.2%,2034件
19,1150-1199,934円,119分,101%,2038件
20,1200-1249,1302円,116分,101.5%,1899件
21,1250-1299,1728円,111分,102.1%,1879件
22,1300-1349,1754円,111分,102.1%,1779件
23,1350-1399,1699円,108分,102.1%,1730件
24,1400-1449,2290円,105分,102.9%,1732件
25,1450-1499,2019円,103分,102.6%,1729件
26,1500-1549,2204円,99分,103%,1619件
27,1550-1599,2473円,97分,103.4%,1562件
28,1600-1649,3076円,95分,104.3%,1620件
29,1650-1699,3193円,91分,104.7%,1498件
30,1700-1749,3258円,89分,104.9%,1512件
31,1750-1799,3429円,87分,105.3%,1508件
32,1800-1849,3217円,85分,105.1%,1416件
33,1850-1899,3880円,81分,106.4%,1354件
34,1900-1949,3745円,77分,106.5%,1405件
35,1950-1999,3983円,73分,107.3%,1331件
36,2000-2049,3861円,69分,107.5%,1275件
37,2050-2099,4522円,66分,109.1%,1275件
38,2100-2149,5011円,63分,110.6%,1230件
39,2150-2199,4761円,60分,110.7%,1191件
40,2200-2249,4992円,57分,111.8%,1193件
41,2250-2299,5255円,53分,113.2%,1180件
42,2300-2349,5547円,50分,114.8%,1143件
43,2350-2399,5600円,48分,115.7%,1047件
44,2400-2449,6383円,44分,119.4%,1064件
45,2450-2499,6352円,44分,119.4%,1024件
46,2500-2549,6723円,42分,121.1%,986件
47,2550-2599,7153円,40分,123.8%,1018件
48,2600-2649,7733円,39分,126.8%,949件
49,2650-2699,7864円,38分,127.4%,808件
