,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,150-199,-2512円,161分,97.9%,3958件
1,200-249,-2543円,160分,97.9%,5030件
2,250-299,-2524円,160分,97.9%,4444件
3,300-349,-2061円,156分,98.2%,4200件
4,350-399,-1897円,155分,98.4%,3705件
5,400-449,-1833円,152分,98.4%,3363件
6,450-499,-1620円,151分,98.6%,3154件
7,500-549,-1269円,147分,98.9%,3037件
8,550-599,-1524円,147分,98.6%,2669件
9,600-649,-1122円,144分,99%,2600件
10,650-699,-538円,141分,99.5%,2447件
11,700-749,-289円,139分,99.7%,2316件
12,750-799,-494円,136分,99.5%,4201件
13,800-849,-369円,135分,99.6%,2416件
14,850-899,-444円,134分,99.6%,2444件
15,900-949,-169円,131分,99.8%,2042件
16,950-999,248円,128分,100.3%,1885件
17,1000-1049,308円,126分,100.3%,1837件
18,1050-1099,33円,125分,100%,1777件
19,1100-1149,212円,122分,100.2%,1672件
20,1150-1199,852円,118分,101%,1710件
21,1200-1249,1516円,116分,101.7%,1539件
22,1250-1299,961円,114分,101.1%,1573件
23,1300-1349,1590円,110分,101.9%,1592件
24,1350-1399,1100円,109分,101.3%,1507件
25,1400-1449,1524円,106分,101.9%,1543件
26,1450-1499,2201円,103分,102.9%,1458件
27,1500-1549,2236円,100分,103%,1454件
28,1550-1599,2449円,98分,103.3%,1335件
29,1600-1649,2562円,94分,103.6%,1347件
30,1650-1699,2870円,93分,104.1%,1269件
31,1700-1749,2457円,90分,103.6%,1261件
32,1750-1799,2993円,86分,104.6%,1192件
33,1800-1849,3263円,83分,105.3%,1204件
34,1850-1899,3230円,80分,105.4%,1177件
35,1900-1949,3464円,77分,106%,1119件
36,1950-1999,3472円,72分,106.4%,1143件
37,2000-2049,3972円,70分,107.5%,1100件
38,2050-2099,3931円,67分,107.8%,1087件
39,2100-2149,4550円,64分,109.4%,1076件
40,2150-2199,4539円,61分,109.9%,988件
41,2200-2249,4402円,58分,110.2%,970件
42,2250-2299,4909円,55分,111.8%,960件
43,2300-2349,5385円,50分,114.3%,968件
44,2350-2399,5566円,48分,115.4%,885件
45,2400-2449,5749円,46分,116.8%,938件
46,2450-2499,6412円,44分,119.4%,844件
47,2500-2549,6796円,43分,121%,826件
48,2550-2599,7279円,41分,123.7%,786件
49,2600-2649,7851円,40分,126.4%,700件
50,2650-2699,8558円,37分,131.1%,584件
51,2700-2749,9229円,34分,135.9%,514件
52,2750-2799,9904円,31分,142.3%,397件
53,2800-2849,10947円,28分,151.2%,300件
54,2850-2899,11864円,25分,163%,266件
55,2900-2949,12932円,23分,176.1%,182件
