,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,500-549,742円,144分,100.7%,1138件
1,550-599,80円,144分,100.1%,1439件
2,600-649,608円,140分,100.6%,1349件
3,650-699,1138円,137分,101.1%,1216件
4,700-749,1284円,136分,101.3%,1054件
5,750-799,1001円,137分,101%,937件
6,800-849,1040円,134分,101%,918件
7,850-899,1590円,130分,101.6%,865件
8,900-949,1114円,131分,101.1%,775件
9,950-999,2074円,127分,102.2%,733件
10,1000-1049,2188円,123分,102.4%,644件
11,1050-1099,2683円,121分,102.9%,649件
12,1100-1149,2374円,119分,102.7%,1166件
13,1150-1199,2319円,116分,102.7%,645件
14,1200-1249,2926円,113分,103.5%,687件
15,1250-1299,3055円,111分,103.7%,625件
16,1300-1349,3180円,109分,103.9%,542件
17,1350-1399,2525円,108分,103.1%,516件
18,1400-1449,3527円,104分,104.5%,532件
19,1450-1499,3193円,103分,104.1%,461件
20,1500-1549,4057円,98分,105.5%,448件
21,1550-1599,4304円,96分,106%,423件
22,1600-1649,4025円,95分,105.7%,442件
23,1650-1699,4688円,91分,106.9%,479件
24,1700-1749,4801円,87分,107.4%,439件
25,1750-1799,4303円,86分,106.7%,429件
26,1800-1849,5441円,82分,108.9%,405件
27,1850-1899,5889円,79分,110%,383件
28,1900-1949,5358円,77分,109.2%,347件
29,1950-1999,6388円,74分,111.6%,396件
30,2000-2049,6819円,71分,112.8%,360件
31,2050-2099,6044円,66分,112.2%,348件
32,2100-2149,6429円,61分,114%,313件
33,2150-2199,6787円,57分,115.8%,321件
34,2200-2249,7540円,52分,119.5%,337件
35,2250-2299,7262円,50分,119.4%,307件
36,2300-2349,7053円,45分,120.7%,340件
37,2350-2399,7257円,44分,122%,299件
38,2400-2449,7256円,44分,122.2%,293件
39,2450-2499,8387円,40分,127.7%,311件
40,2500-2549,8017円,40分,126.7%,262件
41,2550-2599,8495円,38分,129.6%,290件
42,2600-2649,8910円,37分,132%,251件
43,2650-2699,9423円,35分,136.1%,240件
44,2700-2749,9940円,34分,139%,226件
45,2750-2799,10227円,31分,143.8%,250件
46,2800-2849,10825円,28分,151.4%,204件
47,2850-2899,12275円,25分,164.4%,219件
48,2900-2949,12716円,22分,177.1%,184件
