,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,350-399,-1314円,151分,98.8%,1943件
1,400-449,-1597円,151分,98.6%,2504件
2,450-499,-1248円,149分,98.9%,2280件
3,500-549,-827円,146分,99.2%,2086件
4,550-599,-739円,145分,99.3%,1787件
5,600-649,-672円,143分,99.4%,1634件
6,650-699,-875円,143分,99.2%,1513件
7,700-749,-276円,138分,99.7%,1465件
8,750-799,-493円,138分,99.5%,1297件
9,800-849,-104円,136分,99.9%,1277件
10,850-899,428円,132分,100.4%,1145件
11,900-949,860円,129分,100.9%,1098件
12,950-999,249円,128分,100.3%,1979件
13,1000-1049,143円,127分,100.2%,1105件
14,1050-1099,742円,122分,100.8%,1193件
15,1100-1149,793円,122分,100.9%,1013件
16,1150-1199,1241円,119分,101.4%,938件
17,1200-1249,1275円,115分,101.5%,896件
18,1250-1299,1483円,114分,101.7%,915件
19,1300-1349,1234円,111分,101.5%,816件
20,1350-1399,1779円,108分,102.2%,792件
21,1400-1449,2778円,106分,103.5%,738件
22,1450-1499,2276円,104分,102.9%,759件
23,1500-1549,2425円,100分,103.2%,782件
24,1550-1599,2461円,97分,103.4%,752件
25,1600-1649,2856円,94分,104%,733件
26,1650-1699,3564円,91分,105.2%,705件
27,1700-1749,3818円,89分,105.7%,689件
28,1750-1799,3396円,87分,105.2%,612件
29,1800-1849,3815円,82分,106.2%,641件
30,1850-1899,4415円,82分,107.2%,611件
31,1900-1949,4151円,76分,107.3%,597件
32,1950-1999,4513円,74分,108.1%,562件
33,2000-2049,4305円,70分,108.2%,551件
34,2050-2099,5245円,65分,110.8%,564件
35,2100-2149,5433円,62分,111.7%,559件
36,2150-2199,4617円,58分,110.6%,553件
37,2200-2249,5454円,56分,113%,525件
38,2250-2299,5482円,53分,113.7%,517件
39,2300-2349,5911円,49分,116%,529件
40,2350-2399,5558円,47分,115.7%,439件
41,2400-2449,5851円,45分,117.2%,486件
42,2450-2499,6620円,44分,120%,453件
43,2500-2549,7220円,42分,123%,449件
44,2550-2599,7814円,41分,125.6%,417件
45,2600-2649,7594円,39分,126.3%,444件
46,2650-2699,8494円,37分,130.9%,368件
47,2700-2749,9414円,34分,136.8%,388件
48,2750-2799,10039円,31分,142.9%,366件
49,2800-2849,10741円,29分,148.7%,327件
50,2850-2899,11942円,26分,160.5%,243件
51,2900-2949,12831円,22分,177.1%,189件
