,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,350-399,-356円,150分,99.7%,180件
1,400-449,-1540円,150分,98.6%,225件
2,450-499,-1269円,153分,98.9%,276件
3,500-549,-570円,143分,99.5%,355件
4,550-599,-1684円,146分,98.5%,409件
5,600-649,35円,142分,100%,440件
6,650-699,-314円,142分,99.7%,478件
7,700-749,-258円,140分,99.8%,539件
8,750-799,-452円,137分,99.6%,572件
9,800-849,341円,134分,100.3%,565件
10,850-899,382円,132分,100.4%,634件
11,900-949,-225円,133分,99.8%,642件
12,950-999,282円,130分,100.3%,735件
13,1000-1049,838円,124分,100.9%,743件
14,1050-1099,767円,127分,100.8%,725件
15,1100-1149,835円,121分,100.9%,722件
16,1150-1199,1285円,117分,101.5%,677件
17,1200-1249,1504円,117分,101.7%,645件
18,1250-1299,1490円,115分,101.7%,676件
19,1300-1349,2210円,109分,102.7%,623件
20,1350-1399,1752円,107分,102.2%,589件
21,1400-1449,1610円,107分,102%,583件
22,1450-1499,2251円,104分,102.9%,598件
23,1500-1549,2704円,99分,103.6%,542件
24,1550-1599,2873円,97分,104%,573件
25,1600-1649,2804円,96分,103.9%,544件
26,1650-1699,2703円,90分,104%,473件
27,1700-1749,3465円,89分,105.2%,444件
28,1750-1799,3722円,86分,105.8%,459件
29,1800-1849,4376円,82分,107.1%,393件
30,1850-1899,3302円,80分,105.5%,367件
31,1900-1949,4905円,76分,108.6%,357件
32,1950-1999,4064円,73分,107.4%,363件
33,2000-2049,4352円,70分,108.3%,367件
34,2050-2099,4839円,65分,109.9%,353件
35,2100-2149,4830円,64分,110.1%,329件
36,2150-2199,4540円,60分,110%,321件
37,2200-2249,5335円,56分,112.7%,300件
38,2250-2299,4756円,55分,111.6%,298件
39,2300-2349,5546円,51分,114.6%,246件
40,2350-2399,5583円,47分,115.7%,286件
41,2400-2449,6450円,44分,119.4%,266件
42,2450-2499,6690円,43分,120.9%,263件
43,2500-2549,6956円,43分,121.8%,309件
44,2550-2599,6986円,41分,122.5%,252件
45,2600-2649,7914円,38分,127.4%,228件
46,2650-2699,8804円,36分,132.3%,230件
47,2700-2749,9367円,34分,136.2%,221件
48,2750-2799,10071円,32分,142.2%,211件
49,2800-2849,10953円,28分,151.3%,187件
50,2850-2899,12397円,26分,163.7%,191件
51,2900-2949,13181円,22分,178.1%,168件
