,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,900-949,6840円,130分,107%,255件
1,950-999,6814円,124分,107.3%,274件
2,1000-1049,6609円,126分,107%,270件
3,1050-1099,7146円,127分,107.5%,268件
4,1100-1149,7764円,116分,108.9%,284件
5,1150-1199,7609円,118分,108.6%,273件
6,1200-1249,7976円,113分,109.5%,244件
7,1250-1299,7123円,115分,108.2%,300件
8,1300-1349,7891円,107分,109.9%,295件
9,1350-1399,8258円,107分,110.2%,342件
10,1400-1449,8091円,106分,110.1%,255件
11,1450-1499,7715円,101分,110.2%,284件
12,1500-1549,8943円,100分,111.9%,213件
13,1550-1599,8417円,96分,111.6%,229件
14,1600-1649,9370円,95分,113.2%,201件
15,1650-1699,7833円,88分,111.9%,191件
16,1700-1749,9806円,88分,114.9%,193件
17,1750-1799,9399円,85分,114.8%,168件
18,1800-1849,9045円,82分,114.8%,183件
19,1850-1899,10359円,77分,118%,196件
20,1900-1949,9190円,76分,116.1%,205件
21,1950-1999,9097円,76分,116%,188件
22,2000-2049,9448円,72分,117.4%,143件
23,2050-2099,9571円,67分,118.9%,158件
24,2100-2149,10647円,64分,122.3%,137件
25,2150-2199,10787円,61分,123.4%,151件
26,2200-2249,9613円,57分,122.5%,139件
27,2250-2299,10065円,51分,126.2%,138件
28,2300-2349,10169円,44分,130.7%,133件
29,2350-2399,9777円,41分,131.9%,143件
30,2400-2449,10676円,40分,136%,115件
31,2450-2499,11471円,37分,141.8%,124件
32,2500-2549,11610円,37分,142.2%,108件
33,2550-2599,10953円,36分,140.1%,105件
34,2600-2649,11706円,34分,145.8%,87件
35,2650-2699,12518円,34分,148.8%,99件
36,2700-2749,13352円,32分,156%,93件
37,2750-2799,12972円,32分,154.2%,89件
38,2800-2849,13618円,28分,165.6%,89件
39,2850-2899,13904円,27分,169.3%,92件
40,2900-2949,14805円,24分,180.9%,65件
