,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,100-149,-3357円,163分,97.2%,16851件
1,150-199,-2952円,161分,97.6%,8950件
2,200-249,-2695円,157分,97.7%,6231件
3,250-299,-2492円,152分,97.8%,4993件
4,300-349,-2364円,154分,97.9%,4300件
5,350-399,-2047円,152分,98.2%,4241件
6,400-449,-1906円,149分,98.3%,4097件
7,450-499,-1908円,147分,98.3%,4002件
8,500-549,-1473円,144分,98.6%,3908件
9,550-599,-1368円,143分,98.7%,3888件
10,600-649,-1233円,140分,98.8%,3853件
11,650-699,-1163円,140分,98.9%,3800件
12,700-749,-966円,137分,99.1%,3688件
13,750-799,-988円,134分,99%,4001件
14,800-849,-547円,133分,99.5%,4159件
15,850-899,-474円,130分,99.5%,3906件
16,900-949,-16円,127分,100%,3828件
17,950-999,-117円,126分,99.9%,3613件
18,1000-1049,-108円,124分,99.9%,3625件
19,1050-1099,267円,121分,100.3%,3418件
20,1100-1149,399円,118分,100.5%,3323件
21,1150-1199,626円,117分,100.7%,3214件
22,1200-1249,828円,114分,101%,3091件
23,1250-1299,911円,111分,101.1%,3074件
24,1300-1349,891円,110分,101.1%,3039件
25,1350-1399,1337円,105分,101.7%,2937件
26,1400-1449,1408円,104分,101.8%,2891件
27,1450-1499,1720円,102分,102.2%,2848件
28,1500-1549,1792円,99分,102.4%,2757件
29,1550-1599,1917円,96分,102.7%,2703件
30,1600-1649,2221円,94分,103.2%,2702件
31,1650-1699,2292円,91分,103.4%,2601件
32,1700-1749,2595円,88分,103.9%,2467件
33,1750-1799,2406円,85分,103.8%,2518件
34,1800-1849,2912円,82分,104.8%,2481件
35,1850-1899,2594円,79分,104.4%,2235件
36,1900-1949,3425円,75分,106.1%,2334件
37,1950-1999,3683円,73分,106.8%,2223件
38,2000-2049,3590円,69分,106.9%,2159件
39,2050-2099,3700円,66分,107.4%,2119件
40,2100-2149,3895円,64分,108.2%,2076件
41,2150-2199,4053円,60分,109%,1990件
42,2200-2249,4369円,57分,110.2%,1918件
43,2250-2299,5083円,53分,112.9%,1923件
44,2300-2349,4924円,51分,112.9%,1866件
45,2350-2399,5305円,47分,115.1%,1784件
46,2400-2449,5684円,45分,116.9%,1814件
47,2450-2499,6141円,43分,118.8%,1732件
48,2500-2549,6038円,43分,118.6%,1450件
