,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,700-749,715円,139分,100.7%,42件
1,750-799,2383円,136分,102.3%,56件
2,800-849,1652円,130分,101.7%,82件
3,850-899,2873円,133分,102.9%,75件
4,900-949,1557円,126分,101.6%,83件
5,950-999,2189円,133分,102.2%,91件
6,1000-1049,1385円,126分,101.5%,111件
7,1050-1099,1809円,124分,102%,99件
8,1100-1149,2706円,120分,103%,119件
9,1150-1199,3534円,114分,104.1%,145件
10,1200-1249,2314円,117分,102.6%,128件
11,1250-1299,3244円,116分,103.7%,160件
12,1300-1349,3161円,115分,103.7%,148件
13,1350-1399,3184円,106分,104%,163件
14,1400-1449,2613円,109分,103.2%,193件
15,1450-1499,3497円,105分,104.5%,180件
16,1500-1549,3759円,101分,105%,150件
17,1550-1599,3144円,102分,104.1%,158件
18,1600-1649,4051円,95分,105.7%,157件
19,1650-1699,3985円,94分,105.7%,178件
20,1700-1749,5638円,86分,108.7%,181件
21,1750-1799,3012円,88分,104.6%,156件
22,1800-1849,6272円,80分,110.4%,164件
23,1850-1899,5736円,79分,109.7%,156件
24,1900-1949,4996円,76分,108.8%,131件
25,1950-1999,4791円,73分,108.8%,137件
26,2000-2049,5523円,67分,111.1%,127件
27,2050-2099,6425円,64分,113.4%,139件
28,2100-2149,6322円,62分,113.5%,102件
29,2150-2199,7302円,58分,116.7%,112件
30,2200-2249,6354円,52分,116.3%,94件
31,2250-2299,6956円,52分,117.8%,100件
32,2300-2349,6050円,48分,116.9%,96件
33,2350-2399,6809円,45分,120.1%,104件
34,2400-2449,5751円,49分,115.7%,94件
35,2450-2499,7728円,42分,124.7%,87件
36,2500-2549,7789円,41分,125.1%,92件
37,2550-2599,7894円,40分,126.3%,90件
38,2600-2649,8020円,39分,127.3%,85件
39,2650-2699,9220円,34分,136.1%,69件
40,2700-2749,9106円,34分,136.1%,86件
41,2750-2799,10227円,32分,142%,75件
42,2800-2849,11486円,28分,154.9%,71件
43,2850-2899,12018円,25分,163.3%,52件
44,2900-2949,13491円,23分,179.3%,63件
