,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,200-249,-3006円,158分,97.5%,396件
1,250-299,-1565円,155分,98.7%,664件
2,300-349,-2161円,155分,98.1%,1020件
3,350-399,-2093円,152分,98.2%,1197件
4,400-449,-1426円,149分,98.7%,1309件
5,450-499,-1290円,149分,98.8%,1342件
6,500-549,-933円,143分,99.1%,1402件
7,550-599,-947円,144分,99.1%,1429件
8,600-649,-1137円,143分,98.9%,1418件
9,650-699,-741円,142分,99.3%,1450件
10,700-749,-553円,138分,99.5%,1456件
11,750-799,108円,135分,100.1%,1363件
12,800-849,-658円,136分,99.4%,1633件
13,850-899,-42円,131分,100%,1597件
14,900-949,-153円,129分,99.8%,1616件
15,950-999,500円,127分,100.5%,1472件
16,1000-1049,578円,124分,100.6%,1455件
17,1050-1099,645円,123分,100.7%,1274件
18,1100-1149,740円,120分,100.8%,1241件
19,1150-1199,810円,120分,100.9%,1110件
20,1200-1249,770円,114分,100.9%,1065件
21,1250-1299,1333円,113分,101.6%,1073件
22,1300-1349,1574円,111分,101.9%,992件
23,1350-1399,1376円,109分,101.7%,938件
24,1400-1449,2039円,105分,102.6%,990件
25,1450-1499,2628円,101分,103.5%,995件
26,1500-1549,2118円,99分,102.8%,900件
27,1550-1599,2818円,98分,103.8%,760件
28,1600-1649,2580円,95分,103.6%,778件
29,1650-1699,2944円,92分,104.3%,786件
30,1700-1749,2573円,89分,103.9%,739件
31,1750-1799,3113円,86分,104.8%,768件
32,1800-1849,3437円,83分,105.6%,700件
33,1850-1899,3925円,79分,106.6%,680件
34,1900-1949,3746円,74分,106.8%,677件
35,1950-1999,3845円,73分,107%,619件
36,2000-2049,4036円,69分,107.8%,634件
37,2050-2099,3885円,68分,107.6%,594件
38,2100-2149,4627円,64分,109.7%,586件
39,2150-2199,5257円,59分,111.8%,573件
40,2200-2249,5042円,58分,111.6%,578件
41,2250-2299,5099円,54分,112.6%,501件
42,2300-2349,5617円,51分,114.7%,514件
43,2350-2399,5332円,48分,114.8%,463件
44,2400-2449,5888円,45分,117.3%,474件
45,2450-2499,6324円,44分,119.3%,460件
46,2500-2549,6806円,43分,121.3%,437件
47,2550-2599,7461円,41分,124.4%,469件
48,2600-2649,8375円,38分,129.7%,437件
49,2650-2699,8591円,36分,132.1%,471件
50,2700-2749,9546円,34分,137.4%,400件
51,2750-2799,10015円,32分,141.9%,381件
52,2800-2849,11037円,29分,151.4%,355件
53,2850-2899,11804円,26分,161.6%,327件
54,2900-2949,12950円,23分,176.3%,252件
