,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,600-649,3054円,137分,103%,7406件
1,650-699,3368円,135分,103.3%,2369件
2,700-749,3656円,132分,103.7%,1246件
3,750-799,3521円,131分,103.6%,854件
4,800-849,4024円,129分,104.2%,716件
5,850-899,3931円,129分,104.1%,600件
6,900-949,4535円,125分,104.8%,567件
7,950-999,4939円,120分,105.5%,566件
8,1000-1049,4342円,121分,104.8%,562件
9,1050-1099,4977円,119分,105.6%,498件
10,1100-1149,4814円,116分,105.5%,507件
11,1150-1199,5056円,116分,105.8%,545件
12,1200-1249,5817円,115分,106.8%,524件
13,1250-1299,5174円,110分,106.3%,477件
14,1300-1349,5410円,107分,106.8%,575件
15,1350-1399,5279円,103分,106.8%,506件
16,1400-1449,6206円,100分,108.3%,526件
17,1450-1499,7250円,97分,110%,518件
18,1500-1549,6775円,97分,109.3%,495件
19,1550-1599,6961円,96分,109.7%,500件
20,1600-1649,7008円,90分,110.4%,484件
21,1650-1699,6497円,86分,110.1%,420件
22,1700-1749,7496円,86分,111.6%,424件
23,1750-1799,6683円,82分,110.9%,424件
24,1800-1849,7416円,80分,112.4%,409件
25,1850-1899,7119円,78分,112.1%,422件
26,1900-1949,7828円,75分,114%,374件
27,1950-1999,8406円,72分,115.6%,358件
28,2000-2049,8926円,69分,117.2%,371件
29,2050-2099,9004円,66分,118.2%,354件
30,2100-2149,8307円,63分,117.6%,328件
31,2150-2199,9611円,60分,121.2%,361件
32,2200-2249,9617円,56分,122.7%,340件
33,2250-2299,9702円,53分,124.2%,320件
34,2300-2349,10137円,45分,130.3%,307件
35,2350-2399,9627円,38分,133.4%,303件
36,2400-2449,9746円,35分,136.9%,291件
37,2450-2499,10400円,35分,139.6%,273件
38,2500-2549,10492円,34分,141.4%,298件
39,2550-2599,10285円,33分,141.4%,295件
40,2600-2649,11042円,31分,146.8%,286件
41,2650-2699,11651円,30分,152%,252件
42,2700-2749,11949円,29分,154.6%,250件
43,2750-2799,12299円,27分,161.2%,271件
44,2800-2849,12603円,26分,164.2%,230件
45,2850-2899,13807円,23分,181.1%,246件
46,2900-2949,13592円,21分,185.5%,211件
