,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,450-499,-348円,144分,99.7%,116件
1,500-549,-884円,148分,99.2%,149件
2,550-599,-80円,147分,99.9%,193件
3,600-649,66円,140分,100.1%,232件
4,650-699,-1481円,142分,98.6%,277件
5,700-749,1076円,137分,101%,305件
6,750-799,419円,136分,100.4%,329件
7,800-849,523円,135分,100.5%,374件
8,850-899,386円,134分,100.4%,410件
9,900-949,1162円,129分,101.2%,403件
10,950-999,1318円,127分,101.4%,439件
11,1000-1049,540円,128分,100.6%,464件
12,1050-1099,638円,124分,100.7%,508件
13,1100-1149,1739円,118分,102%,503件
14,1150-1199,1755円,122分,101.9%,501件
15,1200-1249,1831円,115分,102.1%,509件
16,1250-1299,2491円,111分,103%,490件
17,1300-1349,2347円,111分,102.8%,460件
18,1350-1399,2251円,109分,102.7%,470件
19,1400-1449,2961円,104分,103.8%,424件
20,1450-1499,2088円,103分,102.7%,391件
21,1500-1549,2959円,100分,104%,411件
22,1550-1599,3029円,98分,104.1%,418件
23,1600-1649,3393円,93分,104.9%,366件
24,1650-1699,3338円,90分,105%,385件
25,1700-1749,3678円,90分,105.5%,365件
26,1750-1799,3722円,84分,105.9%,322件
27,1800-1849,4231円,84分,106.7%,297件
28,1850-1899,4228円,79分,107.1%,319件
29,1900-1949,4849円,76分,108.6%,267件
30,1950-1999,3910円,73分,107.1%,255件
31,2000-2049,5636円,70分,110.8%,247件
32,2050-2099,4526円,66分,109.1%,259件
33,2100-2149,4617円,63分,109.8%,253件
34,2150-2199,5763円,57分,113.5%,242件
35,2200-2249,5712円,56分,113.5%,230件
36,2250-2299,5226円,54分,113%,224件
37,2300-2349,5829円,48分,116.4%,193件
38,2350-2399,5575円,49分,115.1%,206件
39,2400-2449,6272円,46分,118.4%,174件
40,2450-2499,6255円,46分,118.2%,187件
41,2500-2549,7377円,41分,123.8%,178件
42,2550-2599,7533円,40分,125.1%,173件
43,2600-2649,7969円,39分,127%,203件
44,2650-2699,8545円,37分,130.9%,185件
45,2700-2749,9161円,35分,135.2%,149件
46,2750-2799,10575円,31分,145.5%,159件
47,2800-2849,10941円,30分,149%,153件
48,2850-2899,12104円,26分,162.1%,150件
49,2900-2949,12934円,22分,177.8%,114件
