,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,1100-1149,6088円,125分,106.5%,23件
1,1150-1199,5343円,117分,106.1%,29件
2,1200-1249,8199円,125分,108.8%,28件
3,1250-1299,7507円,118分,108.5%,42件
4,1300-1349,7557円,107分,109.4%,38件
5,1350-1399,6773円,113分,108%,42件
6,1400-1449,6045円,104分,107.7%,51件
7,1450-1499,7749円,100分,110.4%,64件
8,1500-1549,8230円,103分,110.7%,43件
9,1550-1599,7510円,101分,109.9%,49件
10,1600-1649,5455円,94分,107.7%,50件
11,1650-1699,6421円,90分,109.5%,52件
12,1700-1749,7558円,89分,111.3%,61件
13,1750-1799,7641円,85分,112%,49件
14,1800-1849,5354円,82分,108.7%,58件
15,1850-1899,7286円,79分,112.3%,61件
16,1900-1949,6361円,71分,111.9%,42件
17,1950-1999,7688円,70分,114.6%,62件
18,2000-2049,8564円,71分,116.1%,62件
19,2050-2099,5533円,65分,111.4%,54件
20,2100-2149,8043円,61分,117.5%,67件
21,2150-2199,7013円,62分,115%,67件
22,2200-2249,6331円,54分,115.7%,61件
23,2250-2299,7657円,50分,120.4%,57件
24,2300-2349,7774円,50分,120.8%,58件
25,2350-2399,6865円,46分,119.8%,58件
26,2400-2449,8484円,43分,126.3%,40件
27,2450-2499,6798円,46分,119.7%,41件
28,2500-2549,7439円,44分,122.4%,47件
29,2550-2599,10056円,38分,135.1%,39件
30,2600-2649,10528円,32分,143.3%,25件
31,2650-2699,10783円,33分,143.6%,30件
32,2700-2749,10000円,35分,138.5%,29件
33,2750-2799,11262円,31分,147.9%,36件
34,2800-2849,11706円,30分,151.8%,35件
35,2850-2899,13401円,25分,170.9%,28件
36,2900-2949,13893円,22分,183.6%,18件
