,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,200-249,-1492円,158分,98.7%,31952件
1,250-299,-1271円,158分,98.9%,9645件
2,300-349,-848円,157分,99.3%,5182件
3,350-399,-862円,154分,99.3%,3489件
4,400-449,-425円,150分,99.6%,2932件
5,450-499,-562円,150分,99.5%,2450件
6,500-549,-202円,149分,99.8%,2392件
7,550-599,-62円,145分,99.9%,2284件
8,600-649,-109円,145分,99.9%,2246件
9,650-699,184円,140分,100.2%,2187件
10,700-749,136円,139分,100.1%,2193件
11,750-799,111円,137分,100.1%,2145件
12,800-849,722円,135分,100.7%,2220件
13,850-899,615円,133分,100.6%,2035件
14,900-949,763円,129分,100.8%,2257件
15,950-999,1194円,127分,101.2%,2348件
16,1000-1049,1523円,125分,101.6%,2191件
17,1050-1099,1633円,123分,101.8%,2145件
18,1100-1149,1612円,122分,101.8%,2034件
19,1150-1199,1410円,120分,101.6%,2038件
20,1200-1249,1767円,116分,102%,1899件
21,1250-1299,2178円,111分,102.6%,1879件
22,1300-1349,2203円,111分,102.6%,1779件
23,1350-1399,2137円,109分,102.6%,1730件
24,1400-1449,2721円,105分,103.5%,1732件
25,1450-1499,2435円,103分,103.1%,1729件
26,1500-1549,2607円,99分,103.5%,1619件
27,1550-1599,2874円,98分,103.9%,1562件
28,1600-1649,3473円,96分,104.8%,1620件
29,1650-1699,3572円,91分,105.2%,1498件
30,1700-1749,3631円,89分,105.4%,1512件
31,1750-1799,3793円,87分,105.8%,1508件
32,1800-1849,3568円,85分,105.6%,1416件
33,1850-1899,4223円,81分,106.9%,1354件
34,1900-1949,4068円,77分,107%,1405件
35,1950-1999,4291円,73分,107.8%,1331件
36,2000-2049,4151円,69分,108%,1275件
37,2050-2099,4804円,66分,109.7%,1275件
38,2100-2149,5287円,63分,111.2%,1230件
39,2150-2199,5020円,60分,111.2%,1191件
40,2200-2249,5240円,57分,112.3%,1193件
41,2250-2299,5491円,53分,113.7%,1180件
42,2300-2349,5772円,50分,115.4%,1143件
43,2350-2399,5814円,48分,116.2%,1047件
44,2400-2449,6591円,44分,119.9%,1064件
45,2450-2499,6560円,44分,119.9%,1024件
46,2500-2549,6931円,43分,121.7%,986件
47,2550-2599,7361円,40分,124.4%,1018件
48,2600-2649,7942円,39分,127.3%,949件
49,2650-2699,8072円,38分,128%,808件
