,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,800-849,1515円,133分,101.5%,34件
1,850-899,2942円,133分,102.9%,41件
2,900-949,2116円,122分,102.3%,58件
3,950-999,2445円,132分,102.5%,47件
4,1000-1049,1709円,117分,101.9%,60件
5,1050-1099,4895円,120分,105.4%,65件
6,1100-1149,1932円,121分,102.1%,81件
7,1150-1199,871円,115分,101%,67件
8,1200-1249,2447円,111分,102.9%,75件
9,1250-1299,4296円,106分,105.4%,102件
10,1300-1349,2888円,111分,103.5%,96件
11,1350-1399,3922円,109分,104.8%,101件
12,1400-1449,3631円,107分,104.5%,108件
13,1450-1499,2869円,102分,103.8%,112件
14,1500-1549,3033円,102分,104%,133件
15,1550-1599,4057円,93分,105.8%,114件
16,1600-1649,3502円,95分,104.9%,101件
17,1650-1699,3440円,97分,104.7%,113件
18,1700-1749,5299円,87分,108.2%,109件
19,1750-1799,4444円,88分,106.7%,121件
20,1800-1849,5680円,80分,109.4%,117件
21,1850-1899,2782円,81分,104.6%,104件
22,1900-1949,6220円,71分,111.7%,101件
23,1950-1999,6059円,74分,110.9%,112件
24,2000-2049,5827円,66分,111.7%,84件
25,2050-2099,5253円,67分,110.5%,93件
26,2100-2149,5130円,61分,111.1%,81件
27,2150-2199,8070円,55分,119.6%,107件
28,2200-2249,5374円,54分,113.2%,60件
29,2250-2299,7708円,48分,121.3%,76件
30,2300-2349,7251円,43分,122.7%,65件
31,2350-2399,6852円,45分,120.2%,59件
32,2400-2449,7293円,41分,123.6%,73件
33,2450-2499,8061円,40分,126.7%,71件
34,2500-2549,7491円,42分,123.7%,72件
35,2550-2599,7946円,42分,125.5%,54件
36,2600-2649,8031円,39分,127.5%,58件
37,2650-2699,8425円,37分,130.3%,60件
38,2700-2749,9266円,34分,136.3%,57件
39,2750-2799,9764円,30分,143.1%,41件
40,2800-2849,10411円,28分,150.2%,58件
41,2850-2899,11900円,26分,160.6%,49件
42,2900-2949,13244円,21分,185.7%,42件
