,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,450-499,-618円,144分,99.4%,116件
1,500-549,-1159円,148分,99%,149件
2,550-599,-361円,147分,99.7%,193件
3,600-649,-201円,140分,99.8%,232件
4,650-699,-1743円,142分,98.4%,277件
5,700-749,807円,137分,100.8%,305件
6,750-799,158円,136分,100.2%,329件
7,800-849,264円,134分,100.3%,374件
8,850-899,129円,134分,100.1%,410件
9,900-949,909円,129分,100.9%,403件
10,950-999,1070円,127分,101.1%,439件
11,1000-1049,296円,127分,100.3%,464件
12,1050-1099,399円,124分,100.4%,508件
13,1100-1149,1508円,118分,101.7%,503件
14,1150-1199,1513円,122分,101.7%,501件
15,1200-1249,1604円,115分,101.9%,509件
16,1250-1299,2271円,110分,102.7%,490件
17,1300-1349,2128円,111分,102.6%,460件
18,1350-1399,2035円,109分,102.5%,470件
19,1400-1449,2750円,104分,103.5%,424件
20,1450-1499,1888円,103分,102.5%,391件
21,1500-1549,2759円,99分,103.7%,411件
22,1550-1599,2833円,98分,103.9%,418件
23,1600-1649,3205円,92分,104.6%,366件
24,1650-1699,3156円,90分,104.7%,385件
25,1700-1749,3495円,90分,105.2%,365件
26,1750-1799,3551円,84分,105.6%,322件
27,1800-1849,4055円,84分,106.4%,297件
28,1850-1899,4066円,79分,106.9%,319件
29,1900-1949,4690円,75分,108.3%,267件
30,1950-1999,3762円,73分,106.9%,255件
31,2000-2049,5485円,69分,110.5%,247件
32,2050-2099,4390円,66分,108.9%,259件
33,2100-2149,4488円,63分,109.5%,253件
34,2150-2199,5638円,57分,113.2%,242件
35,2200-2249,5592円,56分,113.3%,230件
36,2250-2299,5114円,54分,112.7%,224件
37,2300-2349,5727円,47分,116.1%,193件
38,2350-2399,5472円,49分,114.8%,206件
39,2400-2449,6171円,45分,118.1%,174件
40,2450-2499,6154円,46分,118%,187件
41,2500-2549,7277円,41分,123.5%,178件
42,2550-2599,7432円,40分,124.8%,173件
43,2600-2649,7868円,39分,126.7%,203件
44,2650-2699,8444円,37分,130.6%,185件
45,2700-2749,9061円,35分,134.9%,149件
46,2750-2799,10474円,31分,145.2%,159件
47,2800-2849,10840円,30分,148.6%,153件
48,2850-2899,12003円,26分,161.8%,150件
49,2900-2949,12833円,22分,177.5%,114件
