,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,1400-1449,9162円,107分,111.4%,255件
1,1450-1499,8722円,102分,111.4%,284件
2,1500-1549,9977円,101分,113.2%,213件
3,1550-1599,9402円,97分,112.9%,229件
4,1600-1649,10361円,96分,114.4%,201件
5,1650-1699,8713円,89分,113.1%,191件
6,1700-1749,10749円,89分,116.2%,193件
7,1750-1799,10303円,86分,116.1%,168件
8,1800-1849,9902円,83分,116%,183件
9,1850-1899,11216円,77分,119.3%,196件
10,1900-1949,9995円,77分,117.4%,205件
11,1950-1999,9891円,76分,117.3%,188件
12,2000-2049,10223円,73分,118.7%,143件
13,2050-2099,10309円,68分,120.2%,158件
14,2100-2149,11388円,64分,123.7%,137件
15,2150-2199,11508円,62分,124.7%,151件
16,2200-2249,10252円,57分,123.8%,139件
17,2250-2299,10648円,52分,127.4%,138件
18,2300-2349,10697円,45分,132%,133件
19,2350-2399,10264円,41分,133.1%,143件
20,2400-2449,11161円,40分,137.2%,115件
21,2450-2499,11952円,37分,143%,124件
22,2500-2549,12091円,37分,143.4%,108件
23,2550-2599,11434円,37分,141.4%,105件
24,2600-2649,12187円,35分,147.1%,87件
25,2650-2699,12999円,35分,150.1%,99件
26,2700-2749,13833円,32分,157.3%,93件
27,2750-2799,13453円,32分,155.4%,89件
28,2800-2849,14099円,28分,166.9%,89件
29,2850-2899,14385円,27分,170.5%,92件
30,2900-2949,15286円,25分,182.1%,65件
