,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,1500-1549,9797円,103分,112.6%,595件
1,1550-1599,9404円,97分,112.9%,577件
2,1600-1649,8905円,93分,112.8%,494件
3,1650-1699,10017円,93分,114.4%,497件
4,1700-1749,8989円,89分,113.5%,500件
5,1750-1799,10118円,86分,115.7%,488件
6,1800-1849,9425円,84分,115%,509件
7,1850-1899,9908円,81分,116.3%,442件
8,1900-1949,10492円,78分,118%,426件
9,1950-1999,10498円,76分,118.5%,448件
10,2000-2049,10525円,73分,119.2%,421件
11,2050-2099,10125円,69分,119.7%,408件
12,2100-2149,11033円,66分,122.1%,440件
13,2150-2199,10938円,63分,123.1%,407件
14,2200-2249,11091円,59分,124.9%,373件
15,2250-2299,10837円,52分,128%,367件
16,2300-2349,10542円,45分,131.1%,369件
17,2350-2399,10553円,41分,134.6%,357件
18,2400-2449,11148円,40分,137.3%,327件
19,2450-2499,11009円,39分,137.8%,352件
20,2500-2549,10926円,38分,138.2%,344件
21,2550-2599,11649円,36分,142.7%,348件
22,2600-2649,12351円,34分,147.8%,306件
23,2650-2699,12445円,34分,148.9%,302件
24,2700-2749,12756円,32分,152.8%,311件
25,2750-2799,13279円,31分,157.1%,285件
26,2800-2849,14332円,28分,168.5%,305件
27,2850-2899,14385円,26分,174.3%,279件
28,2900-2949,14555円,23分,184.3%,227件
