,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,750-799,206円,136分,100.2%,39件
1,800-849,2073円,132分,102.1%,51件
2,850-899,1405円,125分,101.5%,71件
3,900-949,2216円,129分,102.3%,60件
4,950-999,1289円,120分,101.4%,72件
5,1000-1049,2667円,126分,102.8%,78件
6,1050-1099,1315円,122分,101.4%,98件
7,1100-1149,1058円,117分,101.2%,82件
8,1150-1199,2326円,116分,102.7%,100件
9,1200-1249,3546円,109分,104.3%,123件
10,1250-1299,1898円,115分,102.2%,107件
11,1300-1349,2305円,114分,102.7%,123件
12,1350-1399,2634円,111分,103.2%,122件
13,1400-1449,2307円,103分,103%,130件
14,1450-1499,2068円,106分,102.6%,158件
15,1500-1549,3422円,97分,104.7%,137件
16,1550-1599,2994円,99分,104%,122件
17,1600-1649,2831円,98分,103.8%,134件
18,1650-1699,4119円,89分,106.1%,133件
19,1700-1749,3621円,91分,105.3%,146件
20,1750-1799,5501円,83分,108.8%,150件
21,1800-1849,2474円,83分,104%,132件
22,1850-1899,5667円,75分,110%,123件
23,1900-1949,5123円,77分,108.9%,128件
24,1950-1999,4377円,71分,108.2%,100件
25,2000-2049,4719円,69分,109.1%,114件
26,2050-2099,4980円,64分,110.3%,100件
27,2100-2149,6621円,59分,115%,121件
28,2150-2199,5066円,57分,111.8%,73件
29,2200-2249,7002円,53分,117.6%,93件
30,2250-2299,6495円,46分,118.6%,79件
31,2300-2349,7080円,48分,119.6%,83件
32,2350-2399,6478円,45分,119.4%,84件
33,2400-2449,7231円,43分,122.4%,87件
34,2450-2499,6421円,45分,118.9%,81件
35,2500-2549,7219円,42分,122.8%,68件
36,2550-2599,7524円,40分,125%,69件
37,2600-2649,7925円,39分,127.4%,74件
38,2650-2699,8690円,36分,132.4%,73件
39,2700-2749,9261円,32分,138.1%,51件
40,2750-2799,9443円,31分,141.3%,73件
41,2800-2849,10935円,29分,149.5%,63件
42,2850-2899,12350円,25分,167.2%,58件
43,2900-2949,12536円,22分,175.5%,41件
