,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,650-699,3488円,141分,103.3%,1276件
1,700-749,3228円,142分,103%,1121件
2,750-799,3077円,139分,102.9%,1073件
3,800-849,3663円,134分,103.7%,1036件
4,850-899,3201円,137分,103.1%,926件
5,900-949,4191円,132分,104.2%,880件
6,950-999,4259円,128分,104.4%,791件
7,1000-1049,4644円,127分,104.9%,766件
8,1050-1099,4084円,124分,104.4%,1400件
9,1100-1149,3867円,123分,104.2%,799件
10,1150-1199,4698円,118分,105.3%,820件
11,1200-1249,4454円,117分,105.1%,727件
12,1250-1299,4918円,115分,105.7%,654件
13,1300-1349,4573円,112分,105.4%,617件
14,1350-1399,5017円,110分,106.1%,636件
15,1400-1449,4756円,108分,105.9%,560件
16,1450-1499,5297円,104分,106.8%,550件
17,1500-1549,5835円,101分,107.7%,508件
18,1550-1599,5391円,99分,107.2%,521件
19,1600-1649,5974円,96分,108.3%,577件
20,1650-1699,5611円,92分,108.1%,504件
21,1700-1749,5644円,91分,108.3%,519件
22,1750-1799,6533円,86分,110.1%,492件
23,1800-1849,6959円,84分,111.1%,453件
24,1850-1899,6430円,83分,110.4%,417件
25,1900-1949,7212円,78分,112.4%,468件
26,1950-1999,7736円,76分,113.5%,430件
27,2000-2049,6677円,70分,112.7%,415件
28,2050-2099,6961円,67分,113.9%,379件
29,2100-2149,7272円,62分,115.6%,390件
30,2150-2199,7965円,58分,118.4%,405件
31,2200-2249,7992円,55分,119.4%,384件
32,2250-2299,7242円,51分,119%,402件
33,2300-2349,7394円,49分,120.1%,352件
34,2350-2399,7738円,47分,121.9%,349件
35,2400-2449,8507円,44分,125.8%,372件
36,2450-2499,8166円,43分,125.3%,314件
37,2500-2549,8733円,41分,128.3%,353件
38,2550-2599,9204円,41分,130.1%,324件
39,2600-2649,9595円,39分,133%,303件
40,2650-2699,10111円,38分,135.9%,270件
41,2700-2749,10089円,35分,138.4%,300件
42,2750-2799,10951円,32分,145.2%,250件
43,2800-2849,12179円,30分,154.9%,259件
44,2850-2899,12868円,26分,166.9%,244件
45,2900-2949,13806円,24分,177.1%,206件
